aggregationMode,seasonYear,season,uStar,5%,50%,95%
single,NA,NA,0.16037046153846155,0.16126302307692306,0.21384545104895103,0.2559875576923077
year,2024,NA,0.16037046153846155,0.16126302307692306,0.21384545104895103,0.2559875576923077
season,2024,2024001,0.14937283333333334,0.08279957832142858,0.15168784166666666,0.21538797083333333
season,2024,2024003,0.15047834615384614,0.1377771392857143,0.19170176666666666,0.2521883615384615
season,2024,2024006,0.125857,0.05718471722222222,0.10672913,0.15826404277777778
season,2024,2024009,0.16037046153846155,0.11186202446886448,0.16823900833333333,0.24171843873626375
season,2024,2024012,0.16037046153846155,0.16126302307692306,0.21384545104895103,0.2559875576923077
