Year,GS length (d),GS NEE (g C m⁻²),Σ daily Rg (W m⁻²),Mean Tair (°C),Hot days (n),Mean Tsoil (°C),Precipitation (mm),Mean SWC (m³ m⁻³)
2024,218,-492,46691,16.4,6,14.9,351,0.245
2025,200,-553,42549,17,21,16.7,439,0.212
