event_id,review_type,site,DateTime,NEE_raw,NEE_auto_screened,NEE_kept_for_diag,Rg,Ustar,VPD,wind_dir,qc_co2_flux,GrowingSeason,WinterWindow,is_daytime,is_transition,is_night,low_ustar,flag_fetch_excluded,flag_extreme_negative,auto_remove_nee,decision,reason
LD_large_negative_night_20240228_0000,large_negative_night,LD,2024-02-28T05:00:00Z,-39.22497,-39.22497,-39.22497,0,0.757539,0.314429,197.988,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,advection artifact
LD_large_negative_night_20240320_0530,large_negative_night,LD,2024-03-20T09:30:00Z,-31.40733,-31.40733,-31.40733,0,0.416592,0.067568,309.738,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_large_negative_night_20240402_2330,large_negative_night,LD,2024-04-03T03:30:00Z,-36.47368,-36.47368,-36.47368,0,0.73437,0.0718954,203.124,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,artifact
LD_large_negative_night_20240412_0330,large_negative_night,LD,2024-04-12T07:30:00Z,-32.8217,-32.8217,-32.8217,0,0.652195,0.0475736,304.04,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,oscillatory pattern
LD_large_negative_night_20240427_0700,large_negative_night,LD,2024-04-27T11:00:00Z,-35.00549,-35.00549,-35.00549,0.794618,0.400455,0,140.792,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,transition
LD_large_negative_night_20240430_2330,large_negative_night,LD,2024-05-01T03:30:00Z,-36.29063,-36.29063,-36.29063,0,0.164426,0.23098,116.531,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,oscillatory pattern
LD_large_negative_night_20240513_0200,large_negative_night,LD,2024-05-13T06:00:00Z,-33.01978,-33.01978,-33.01978,0,0.349889,0.0206737,104.205,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_large_negative_night_20240523_2330,large_negative_night,LD,2024-05-24T03:30:00Z,-32.14145,-32.14145,-32.14145,1.48E-04,0.114886,0.779165,166.51,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,moderate coherent negative pattern
LD_large_negative_night_20240601_0200,large_negative_night,LD,2024-06-01T06:00:00Z,-33.82455,-33.82455,-33.82455,0,0.127995,0.0788643,99.4395,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_large_negative_night_20240619_2130,large_negative_night,LD,2024-06-20T01:30:00Z,-30.593,-30.593,-30.593,7.25867,0.171204,0.709048,145.792,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_large_negative_night_20240622_2100,large_negative_night,LD,2024-06-23T01:00:00Z,-36.33598,-36.33598,-36.33598,1.20616,0.343617,0,289.639,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,oscillatory pattern
LD_large_negative_night_20240625_0630,large_negative_night,LD,2024-06-25T10:30:00Z,-30.64198,-30.64198,-30.64198,0.019667,0.59344,0,242.626,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,transition
LD_large_negative_night_20240629_0230,large_negative_night,LD,2024-06-29T06:30:00Z,-32.50614,-32.50614,-32.50614,0,0.175668,0,235.708,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,oscillatory pattern
LD_large_negative_night_20240701_0300,large_negative_night,LD,2024-07-01T07:00:00Z,-35.781701,-35.781701,-35.781701,0,0.133273,0.0784589,213,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,oscillatory pattern
LD_large_negative_night_20240704_2200,large_negative_night,LD,2024-07-05T02:00:00Z,-32.9109,-32.9109,-32.9109,0.786801,0.106904,0,129.566,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_large_negative_night_20240717_0030,large_negative_night,LD,2024-07-17T04:30:00Z,-38.66319,-38.66319,-38.66319,0,0.125481,0,203.361,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_large_negative_night_20240717_0630,large_negative_night,LD,2024-07-17T10:30:00Z,-32.2842,-32.2842,-32.2842,2.96044,0.102288,0,262.813,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,oscillatory pattern
LD_large_negative_night_20240726_2300,large_negative_night,LD,2024-07-27T03:00:00Z,-30.83992,-30.83992,-30.83992,0,0.106022,0.530366,133.642,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_large_negative_night_20240804_2230,large_negative_night,LD,2024-08-05T02:30:00Z,-57.59177,-57.59177,-57.59177,0,0.207809,0.36139,242.371,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_large_negative_night_20240805_0230,large_negative_night,LD,2024-08-05T06:30:00Z,-34.11986,-34.11986,-34.11986,0,0.122067,0,133.573,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_large_negative_night_20240805_0300,large_negative_night,LD,2024-08-05T07:00:00Z,-48.95617,-48.95617,-48.95617,0,0.127314,0,111.758,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_large_negative_night_20240823_0430,large_negative_night,LD,2024-08-23T08:30:00Z,-36.8276,-36.8276,-36.8276,5.66E-04,0.139612,0.037921,234.749,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,oscillatory pattern
LD_large_negative_night_20240823_0500,large_negative_night,LD,2024-08-23T09:00:00Z,-37.77664,-37.77664,-37.77664,6.12E-04,0.181499,0,163.148,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,oscillatory pattern
LD_large_negative_night_20240823_0630,large_negative_night,LD,2024-08-23T10:30:00Z,-37.82741,-37.82741,-37.82741,0.00827679,0.304321,0,240.504,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,transition
LD_large_negative_night_20240824_0600,large_negative_night,LD,2024-08-24T10:00:00Z,-35.448114,-35.448114,-35.448114,2.34E-04,0.278562,0.0995251,217.837,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,transition
LD_large_negative_night_20240910_2330,large_negative_night,LD,2024-09-11T03:30:00Z,-32.75297,-32.75297,-32.75297,0,0.122152,0,152.529,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,oscillatory pattern
LD_large_negative_night_20240911_0430,large_negative_night,LD,2024-09-11T08:30:00Z,-38.13654,-38.13654,-38.13654,0,0.121485,0.283575,147.259,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_large_negative_night_20240911_2100,large_negative_night,LD,2024-09-12T01:00:00Z,-32.78988,-32.78988,-32.78988,0.00457022,0.16488,0.563676,130.668,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
