site,n_hh_total,n_auto_removed,n_final_removed,n_manual_pos_remove,n_manual_neg_remove,n_manual_pos_keep,n_manual_neg_keep,reference_annual_NEE_gC_m2,reference_GS_NEE_gC_m2,reference_annual_GPP_gC_m2,reference_GS_GPP_gC_m2,reference_annual_Reco_gC_m2,reference_GS_Reco_gC_m2
LD,17519,4360,4420,36,24,7,9,-312.5466400492,-519.021646348341,1875.86744215199,1738.19093914695,1563.32080210279,1219.16929279861
MD,17519,66,92,11,15,14,0,-480.891694785709,-588.182153271102,2146.42089105191,1976.74384860166,1665.5291962662,1388.56169533056
