year,source_file,calendar_rows,LD_NEE_days,MD_NEE_days,paired_NEE_days
2024,Daily_LD_MD_Fluxes_plus_Drivers_plus_VPD_2024_U50.csv,366,366,366,366
2025,Daily_LD_MD_Fluxes_plus_Drivers_plus_VPD_2025_U50.csv,365,365,365,365
