Year,Metric,Paired days,LD,MD,MD - LD,p_value_numeric
2024,NEE,218,-462.1514277726059,-522.7197748144813,-60.56834704187537,0.030774774375400493
2024,GPP,218,2046.3215222248705,1996.6719218492765,-49.64960037559399,0.21923754701203071
2024,Reco,218,1584.1700944522636,1473.9521470347938,-110.21794741746976,9.590045242285044e-4
2025,NEE,200,-505.02501699006683,-589.6702944076376,-84.64527741757075,7.34577658611693e-4
2025,GPP,200,1727.2809800506304,1975.7729280989338,248.49194804830336,2.490426839080274e-13
2025,Reco,200,1222.255963060563,1386.1026336912958,163.84667063073266,2.2599328727418026e-10
