Year,EBC window,n,Slope,Intercept,r2
2024,Daytime,6628,0.7894823463215636,26.150305973418742,0.8224455511591645
2024,Midday GS,1615,0.6932148431248186,69.71135433276991,0.6201541609718134
2025,Daytime,5962,0.8825730332989734,25.486835177921655,0.8293124343343565
2025,Midday GS,1460,0.7549750870243945,83.5351192432882,0.6456485116218481
