year,GS length (d),GS NEE,Sum daily Rg,Mean Tair,Hot days (n),Mean Tsoil,Precipitation,Mean SWC
2024,218,-492.43560129354273,46690.74105598001,16.37197261309756,6,14.912086820964797,350.7900000000001,0.24519745243743712
2025,200,-552.9025004273382,42548.73373601001,16.987830937625,21,16.737685443685567,438.90000000000026,0.21170896587628868
