Year,Orchard,5%,50%,95%
2024,LD,0.19793459886363635,0.2290302196969697,0.2928412322727273
2024,MD,0.16126302307692306,0.21384545104895103,0.2559875576923077
2025,LD,0.19677210777777776,0.23198749305555555,0.33878067777777776
2025,MD,0.176241645487013,0.2159626710789211,0.33572853809523806
