event_id,review_type,site,DateTime,NEE_raw,NEE_auto_screened,NEE_kept_for_diag,Rg,Ustar,VPD,wind_dir,qc_co2_flux,GrowingSeason,WinterWindow,is_daytime,is_night,low_ustar,flag_fetch_excluded,flag_remove_high_positive,flag_impossible,auto_remove_nee,decision,reason
LD_high_night_20250827_0500,high_night,LD,2025-08-27T09:00:00Z,53.0227,53.0227,53.0227,0,0.0539547,NA,119.385,2,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,trend
LD_high_day_20250828_1000,high_day,LD,2025-08-28T14:00:00Z,110.699442,110.699442,110.699442,224.936,0.354975,NA,288.494,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_high_day_20250830_0930,high_day,LD,2025-08-30T13:30:00Z,68.7617,68.7617,68.7617,338.877,0.161894,0.226483,155.449,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_high_day_20250903_1700,high_day,LD,2025-09-03T21:00:00Z,50.38963,50.38963,50.38963,148.438,0.528964,0.147206,281.344,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_high_night_20250905_0400,high_night,LD,2025-09-05T08:00:00Z,51.002563,51.002563,51.002563,0,0.480698,0.304101,188.625,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,oscillating pattern
LD_high_day_20250908_0900,high_day,LD,2025-09-08T13:00:00Z,61.104,61.104,61.104,217.925,0.357203,0.08273,136.354,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_high_night_20250920_2200,high_night,LD,2025-09-21T02:00:00Z,63.5122,63.5122,63.5122,0.00191221,0.333418,NA,99.1537,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,oscillating pattern
LD_high_night_20251024_0600,high_night,LD,2025-10-24T10:00:00Z,75.8635,75.8635,75.8635,0,0.101708,NA,242.472,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_high_night_20251024_0630,high_night,LD,2025-10-24T10:30:00Z,56.41472,56.41472,56.41472,0,0.104692,NA,250.711,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_high_night_20251102_0230,high_night,LD,2025-11-02T07:30:00Z,73.3053,73.3053,73.3053,1.25E-04,0.0839501,8.07E-04,260.544,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,oscillating pattern
LD_high_night_20251106_0730,high_night,LD,2025-11-06T12:30:00Z,55.4652,55.4652,55.4652,2.83263,0.0605932,0.00104702,201.659,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_high_night_20251122_0200,high_night,LD,2025-11-22T07:00:00Z,56.4467,56.4467,56.4467,0,0.0603069,0.0093553,242.06,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,oscillating pattern
LD_high_night_20251126_0030,high_night,LD,2025-11-26T05:30:00Z,86.5088,86.5088,86.5088,0,0.402363,NA,193.08,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,oscillating pattern
LD_high_day_20251126_1030,high_day,LD,2025-11-26T15:30:00Z,104.226367,104.226367,104.226367,80.6442,0.880781,0.00493236,226.815,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,oscillating pattern
LD_high_night_20251218_0730,high_night,LD,2025-12-18T12:30:00Z,55.69837,55.69837,55.69837,1.92E-04,0.599686,NA,161.729,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,oscillating pattern
LD_high_night_20251218_1830,high_night,LD,2025-12-18T23:30:00Z,140.81119,140.81119,140.81119,0,0.700059,0.00583814,252.392,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,keep,oscillating pattern
LD_high_night_20251222_2200,high_night,LD,2025-12-23T03:00:00Z,68.1624,68.1624,68.1624,0,0.426272,0.167169,141.328,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_high_night_20251229_0100,high_night,LD,2025-12-29T06:00:00Z,95.00611,95.00611,95.00611,0,1.04448,NA,255.772,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,artifact
MD_high_night_20250123_0630,high_night,MD,2025-01-23T11:30:00Z,64.2093,64.2093,64.2093,2.96E-04,0.161199,0.00564085,216.408,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,oscillating pattern
MD_high_night_20250520_2100,high_night,MD,2025-05-21T01:00:00Z,51.53624,51.53624,51.53624,3.96838,0.578051,0.0100119,87.9651,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,keep,transition
MD_high_night_20250604_0700,high_night,MD,2025-06-04T11:00:00Z,56.04822,56.04822,56.04822,4.24587,0.327549,NA,260.741,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,keep,transition
MD_high_night_20250619_0230,high_night,MD,2025-06-19T06:30:00Z,63.032256,63.032256,63.032256,0,0.328425,NA,257.532,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,keep,moderate
MD_high_night_20250619_0530,high_night,MD,2025-06-19T09:30:00Z,52.5785,52.5785,52.5785,5.41E-04,0.45442,NA,350.882,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,keep,moderate
MD_high_night_20250717_0300,high_night,MD,2025-07-17T07:00:00Z,83.53394,83.53394,83.53394,0,0.433502,NA,248.72,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,spike
MD_high_night_20250718_0200,high_night,MD,2025-07-18T06:00:00Z,72.7127,72.7127,72.7127,0,0.0637274,NA,50.7608,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
MD_high_day_20250812_1730,high_day,MD,2025-08-12T21:30:00Z,69.6667,69.6667,69.6667,65.8124,0.161342,NA,139.673,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,keep,late day transition
MD_high_night_20250818_2330,high_night,MD,2025-08-19T03:30:00Z,68.96979,68.96979,68.96979,0,0.669689,NA,149.319,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,keep,trend
MD_high_night_20250819_0800,high_night,MD,2025-08-19T12:00:00Z,66.59805,66.59805,66.59805,8.3388,0.250336,NA,157.367,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,spike
MD_high_night_20250826_0530,high_night,MD,2025-08-26T09:30:00Z,73.4474,73.4474,73.4474,0,0.0566459,NA,244.27,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
MD_high_day_20250826_0900,high_day,MD,2025-08-26T13:00:00Z,59.9653,59.9653,59.9653,261.212,0.153758,0.0932813,203.844,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,keep,transition
MD_high_day_20250830_0930,high_day,MD,2025-08-30T13:30:00Z,98.8616,98.8616,98.8616,338.877,0.16782,0.239754,181.808,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,keep,transition
MD_high_day_20250916_0930,high_day,MD,2025-09-16T13:30:00Z,53.8623,53.8623,53.8623,253.838,0.166958,0.0703257,74.6324,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,keep,transition
MD_high_night_20250921_0230,high_night,MD,2025-09-21T06:30:00Z,55.79206,55.79206,55.79206,0,0.194565,NA,114.988,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,oscillating pattern
MD_high_night_20251006_2230,high_night,MD,2025-10-07T02:30:00Z,54.69049,54.69049,54.69049,6.61E-05,0.218833,NA,16.3188,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,keep,trend
MD_high_night_20251015_0700,high_night,MD,2025-10-15T11:00:00Z,62.6994,62.6994,62.6994,0,0.0751814,0.0253967,41.7847,2,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,transition
MD_high_day_20251015_1030,high_day,MD,2025-10-15T14:30:00Z,68.76145,68.76145,68.76145,136.81,0.104325,0.228435,354.78,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,spike
MD_high_night_20251019_0900,high_night,MD,2025-10-19T13:00:00Z,53.1282,53.1282,53.1282,8.85889,0.338894,NA,336.945,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,oscillating pattern
MD_high_day_20251019_1300,high_day,MD,2025-10-19T17:00:00Z,68.47246,68.47246,68.47246,69.2086,0.664611,NA,325.396,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,oscillating pattern
MD_high_night_20251024_0630,high_night,MD,2025-10-24T10:30:00Z,69.5162,69.5162,69.5162,0,0.0734465,NA,285.032,2,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,transition
MD_high_night_20251228_1030,high_night,MD,2025-12-28T15:30:00Z,121.5984,121.5984,121.5984,9.43118,0.194964,NA,80.1706,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,spike
MD_high_night_20251229_0200,high_night,MD,2025-12-29T07:00:00Z,64.17557,64.17557,64.17557,0,0.813506,NA,264.027,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,keep,trend
MD_high_night_20251229_0230,high_night,MD,2025-12-29T07:30:00Z,56.72234,56.72234,56.72234,0,1.01935,NA,262.556,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,keep,trend
MD_high_night_20251230_2200,high_night,MD,2025-12-31T03:00:00Z,72.2514,72.2514,72.2514,0.00115605,0.132828,0.0165412,222.524,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,spike
