aggregationMode,seasonYear,season,uStar,5%,50%,95%
single,NA,NA,0.2333032,0.19793459886363635,0.2290302196969697,0.2928412322727273
year,2024,NA,0.2333032,0.19793459886363635,0.2290302196969697,0.2928412322727273
season,2024,2024001,0.2333032,0.19793459886363635,0.2290302196969697,0.2928412322727273
season,2024,2024003,0.2333032,0.196102125,0.22259065,0.2836793388111888
season,2024,2024006,0.184956,0.028892998125,0.10770899027777778,0.217970776875
season,2024,2024009,0.13779729500000001,0.048125167833333336,0.159034,0.25234248522727265
season,2024,2024012,0.2333032,0.19793459886363635,0.2290302196969697,0.2928412322727273
