window,n,slope,intercept,r2
Daytime (Rg>10),6628,0.7894823463215636,26.150305973418742,0.8224455511591645
"Midday GS (Rg>300, 11–15)",1615,0.6932148431248186,69.71135433276991,0.6201541609718134
