DateTime,DOY,CHK__1_1_1,DAQM_T_1_1_1,VIN_1_1_1,PPFD_1_1_1,P_RAIN_1_1_1,RG_1_1_1,RH_1_1_1,RN_1_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,SWC_1_1_1,SWC_2_1_1,TA_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,n_SHF,n_TS,n_SWC,SHF,TS,SWC
2024-01-01T15:30:00Z,1.4374,141.133,4.6599,12.1535,208.862,0,109.749,70.9826,21.6199,-9.32907,-10.5438,-8.62694,0.133824,NA,270.906,276.496,276.543,NA,3,2,1,-9.499936666666667,276.5195,0.133824
2024-01-01T16:00:00Z,1.4582,120.767,5.03802,12.1538,252.303,0,132.562,70.7225,29.8721,-9.03596,-10.3923,-8.64447,0.133465,NA,271.091,276.499,276.525,NA,3,2,1,-9.357576666666667,276.512,0.133465
2024-01-01T16:30:00Z,1.479,104.967,5.45729,12.1544,310.545,0,160.069,69.7871,35.0735,-8.53433,-10.0659,-8.50557,0.133001,NA,271.339,276.508,276.509,NA,3,2,1,-9.035266666666667,276.5085,0.133001
2024-01-01T17:00:00Z,1.4999,127.7,5.79531,12.1538,310.088,0,162.311,68.5373,38.4678,-7.93137,-9.6251,-8.26701,0.132703,NA,271.558,276.502,276.508,NA,3,2,1,-8.607826666666668,276.505,0.132703
2024-01-01T17:30:00Z,1.5207,143.267,5.78932,12.1553,262.275,0,137.344,70.3481,30.3813,-7.46991,-9.04066,-8.01541,0.132939,NA,271.656,276.485,276.505,NA,3,2,1,-8.175326666666667,276.495,0.132939
2024-01-01T18:00:00Z,1.5415,128.433,5.71614,12.1553,221.749,0,116.026,72.1523,25.0778,-7.1682,-8.35628,-7.76927,0.132882,NA,271.522,276.484,276.507,NA,3,2,1,-7.764583333333333,276.4955,0.132882
2024-01-01T18:30:00Z,1.5624,126.367,5.65912,12.1558,209.59,0,109.532,73.1811,22.3577,-6.91939,-7.81814,-7.54499,0.132749,NA,271.548,276.513,276.511,NA,3,2,1,-7.427506666666667,276.512,0.132749
2024-01-01T19:00:00Z,1.5832,125.367,5.75026,12.1555,249.058,0,130.255,72.5911,28.8995,-6.605,-7.34205,-7.35864,0.132641,NA,271.786,276.509,276.518,NA,3,2,1,-7.101896666666667,276.5135,0.132641
2024-01-01T19:30:00Z,1.604,108.967,6.08021,12.1542,162.498,0,85.1624,72.6986,15.83,-6.476,-6.66887,-7.19568,0.132581,NA,271.823,276.51,276.53,NA,3,2,1,-6.7801833333333335,276.52,0.132581
2024-01-01T20:00:00Z,1.6249,130.467,6.09557,12.1547,118.448,0,61.693600000000004,74.1176,9.35893,-6.52262,-6.28258,-7.01746,0.132452,NA,271.846,276.493,276.543,NA,3,2,1,-6.607553333333334,276.51800000000003,0.132452
2024-01-01T20:30:00Z,1.6457,93.1,6.04479,12.1539,84.2491,0,43.9254,77.93,4.97262,-6.85716,-6.32456,-6.90979,0.132372,NA,271.846,276.464,276.553,NA,3,2,1,-6.69717,276.5085,0.132372
2024-01-01T21:00:00Z,1.6665,111.8,5.87161,12.1533,64.1968,0,33.599,77.7234,2.21029,-7.44692,-6.61177,-6.90917,0.132295,NA,271.618,276.404,276.556,NA,3,2,1,-6.989286666666667,276.48,0.132295
2024-01-01T21:30:00Z,1.6873,122.267,5.50286,12.1538,37.1859,0,19.4331,77.764,-2.26421,-8.22249,-7.04141,-7.01423,0.132023,NA,271.406,276.33,276.553,NA,3,2,1,-7.426043333333333,276.4415,0.132023
2024-01-01T22:00:00Z,1.7082,137.167,5.14323,12.1548,20.9726,0,11.1155,76.7421,-4.90234,-8.92748,-7.45244,-7.18699,0.131645,NA,271.244,276.27,276.539,NA,3,2,1,-7.855636666666666,276.4045,0.131645
2024-01-01T22:30:00Z,1.729,141.733,4.90885,12.1541,5.9345,0,3.2558,75.6457,-7.48555,-9.49343,-7.81747,-7.40709,0.131466,NA,271.147,276.199,276.526,NA,3,2,1,-8.23933,276.3625,0.131466
2024-01-01T23:00:00Z,1.7498,119.267,4.69974,12.154,0.336799,0,0.331755,74.8981,-8.45791,-10.1291,-8.1714,-7.60909,0.131192,NA,271.017,276.115,276.507,NA,3,2,1,-8.63653,276.31100000000004,0.131192
2024-01-01T23:30:00Z,1.7707,148.167,4.56432,12.155,4.34396e-4,0,9.61775e-4,76.431,-7.98458,-10.7688,-8.50337,-7.89242,0.131061,NA,270.994,276.065,276.482,NA,3,2,1,-9.054863333333333,276.2735,0.131061
2024-01-02T00:00:00Z,1.7915,89.3333,4.71302,12.1539,-9.04e-4,0,-2.89e-4,77.644,-7.69869,-11.1406,-8.77291,-8.05054,0.131022,NA,271.063,276.032,276.461,NA,3,2,1,-9.321349999999999,276.24649999999997,0.131022
2024-01-02T00:30:00Z,1.8123,144.933,4.83854,12.1537,-8.6e-4,0,-2.35e-4,77.4951,-7.57939,-11.3165,-8.97776,-8.14999,0.13096,NA,271.238,276.01,276.44,NA,3,2,1,-9.481416666666666,276.225,0.13096
2024-01-02T01:00:00Z,1.8332,111.7,4.92135,12.1526,-9.47e-4,0,-3.45e-4,76.7891,-7.65114,-11.4465,-9.10099,-8.21238,0.130894,NA,271.441,275.963,276.421,NA,3,2,1,-9.586623333333334,276.192,0.130894
2024-01-02T01:30:00Z,1.854,109.633,5.00573,12.1527,-8.04e-4,0,-2.49e-4,75.6507,-7.47735,-11.7353,-9.2232,-8.34055,0.130676,NA,271.568,275.914,276.403,NA,3,2,1,-9.766350000000001,276.1585,0.130676
2024-01-02T02:00:00Z,1.8748,131.4,5.08021,12.1525,-9.32e-4,0,-4.14e-4,75.2562,-7.25181,-12.0788,-9.35232,-8.43866,0.130543,NA,271.639,275.863,276.384,NA,3,2,1,-9.956593333333334,276.12350000000004,0.130543
