aggregationMode,seasonYear,season,uStar,5%,50%,95%
single,NA,NA,0.2648267222222222,0.19677210777777776,0.23198749305555555,0.33878067777777776
year,2025,NA,0.2648267222222222,0.19677210777777776,0.23198749305555555,0.33878067777777776
season,2025,2025001,0.2648267222222222,0.173389835625,0.21950061666666668,0.3310917180555555
season,2025,2025003,0.198853375,0.15709214479166667,0.1910941875,0.23214835833333333
season,2025,2025006,0.0813243125,0.04569311857142857,0.11178177961309524,0.19841795223214284
season,2025,2025009,0.02845666,0.033628706590909094,0.15180888636363638,0.20902808636363635
season,2025,2025012,0.1858216,0.12915727349999997,0.1965699,0.27412279999999994
