window,n,slope,intercept,r2
Daytime (Rg>10),5962,0.8825730332989734,25.486835177921655,0.8293124343343565
"Midday GS (Rg>300, 11–15)",1460,0.7549750870243945,83.5351192432882,0.6456485116218481
