site,Date,n_obs_NEE,n_obs_GPP,n_obs_Reco,NEE_gC_day,GPP_gC_day,Reco_gC_day,cov_NEE,cov_GPP,cov_Reco
LD,2024-03-13,48,48,48,1.2300453682794663,1.8451191649972276,3.075164533276693,1,1,1
LD,2024-03-14,48,48,48,3.1739344241239063,-0.3589835344504928,2.814950889673411,1,1,1
LD,2024-03-15,48,48,48,-0.5989846844381173,2.8988598240782824,2.299875139640164,1,1,1
LD,2024-03-16,48,48,48,1.6648678683975067,0.6118451560619269,2.2767130244594336,1,1,1
LD,2024-03-17,48,48,48,0.6752074432442943,1.2520033049486847,1.9272107481929788,1,1,1
LD,2024-03-18,48,48,48,1.2176014951266874,0.33634626467932127,1.5539477598060079,1,1,1
LD,2024-03-19,48,48,48,-0.2306762107199999,1.9420285091493747,1.7113522984293745,1,1,1
LD,2024-03-20,48,48,48,2.5365732172962043,-1.0735460433969566,1.463027173899247,1,1,1
LD,2024-03-21,48,48,48,0.7990536424692123,0.41207558137315564,1.2111292238423683,1,1,1
LD,2024-03-22,48,48,48,3.8006348487963826,-2.48037779261997,1.3202570561764126,1,1,1
LD,2024-03-23,48,48,48,0.18272967638546453,1.2182622107326952,1.40099188711816,1,1,1
LD,2024-03-24,48,48,48,0.25250829817376336,1.1857665949490142,1.4382748931227776,1,1,1
LD,2024-03-25,48,48,48,-0.5398979361120001,2.5189513531629357,1.979053417050936,1,1,1
LD,2024-03-26,48,48,48,-0.7007095436953847,3.032669128387883,2.3319595846925,1,1,1
LD,2024-03-27,48,48,48,0.3277806990969601,1.3974018020849925,1.7251825011819528,1,1,1
LD,2024-03-28,48,48,48,-1.2034690796950613,2.7456759502886365,1.542206870593575,1,1,1
LD,2024-03-29,48,48,48,-1.1793384327232868,2.5300952074187935,1.350756774695507,1,1,1
LD,2024-03-30,48,48,48,0.12322643949367428,0.9637702146594957,1.086996654153169,1,1,1
LD,2024-03-31,48,48,48,-0.30721220175687425,1.0901501261451512,0.7829379243882768,1,1,1
LD,2024-04-01,48,48,48,-1.2565041269022768,1.7707587101849187,0.5142545832826422,1,1,1
LD,2024-04-02,48,48,48,0.9993684517124114,-0.8278119075292404,0.17155654418317104,1,1,1
LD,2024-04-03,48,48,48,-2.668589382757788,2.798442129325341,0.12985274656755125,1,1,1
LD,2024-04-04,48,48,48,-0.43659809169942904,0.8002906543685318,0.363692562669103,1,1,1
LD,2024-04-05,48,48,48,-2.2127895329798895,2.836776302180767,0.6239867692008773,1,1,1
LD,2024-04-06,48,48,48,-2.9511769218494326,3.892832430945055,0.9416555090956228,1,1,1
LD,2024-04-07,48,48,48,-1.1107801069783392,2.6055124346096825,1.4947323276313438,1,1,1
LD,2024-04-08,48,48,48,-1.170852338232,3.4670765700800086,2.296224231848007,1,1,1
LD,2024-04-09,48,48,48,-1.5068921526786458,4.509548792714538,3.0026566400358923,1,1,1
LD,2024-04-10,48,48,48,-1.603644296161357,4.937784975989184,3.334140679827828,1,1,1
LD,2024-04-11,48,48,48,1.130913860901552,2.6494525734963483,3.7803664343978993,1,1,1
LD,2024-04-12,48,48,48,0.5343580136660264,3.493026097374889,4.0273841110409165,1,1,1
LD,2024-04-13,48,48,48,-1.2978324607476257,5.841875617737658,4.544043156990032,1,1,1
LD,2024-04-14,48,48,48,-1.6260499642644004,6.83577424340287,5.20972427913847,1,1,1
LD,2024-04-15,48,48,48,-1.7064619366401814,7.86277055345879,6.1563086168186105,1,1,1
LD,2024-04-16,48,48,48,-1.7505861123724908,7.742216828372815,5.991630716000325,1,1,1
LD,2024-04-17,48,48,48,1.2577186107717508,4.674950220958835,5.932668831730585,1,1,1
LD,2024-04-18,48,48,48,-1.2283090132435417,6.1811787838766525,4.952869770633111,1,1,1
LD,2024-04-19,48,48,48,-2.244643066397596,6.730409447086376,4.485766380688779,1,1,1
LD,2024-04-20,48,48,48,-1.4694061791383999,5.535832011709583,4.066425832571184,1,1,1
LD,2024-04-21,48,48,48,-2.8853909578571146,7.158691626605591,4.273300668748476,1,1,1
LD,2024-04-22,48,48,48,-2.412616665302149,7.560255198361867,5.14763853305972,1,1,1
LD,2024-04-23,48,48,48,-0.6486452879965713,6.920697522395968,6.2720522343993945,1,1,1
LD,2024-04-24,48,48,48,-2.5386503142603423,8.291961967338406,5.753311653078065,1,1,1
LD,2024-04-25,48,48,48,-3.72016542859393,9.196206118704714,5.476040690110783,1,1,1
LD,2024-04-26,48,48,48,-3.5698345100566056,10.162402116429808,6.592567606373204,1,1,1
