Date,n_hh,n_Rg,frac_Rg,Rg_mean_Wm2,Rg_max_Wm2,Tair_mean_C,Tair_max_C,Tair_min_C,RH_mean_pct,VPD_mean_kPa,VPD_max_kPa,P_used_mm,SWC_mean,TS_mean_C,n_SWC_mean,n_TS_mean,n_Rg_from_Grant,n_Tair_from_Grant,n_RH_from_Grant,frac_Rg_from_Grant,frac_Tair_from_Grant,frac_RH_from_Grant
2024-01-01,38,38,1,37.64163143986842,162.311,-1.660289473684187,-1.0639999999999645,-2.4470000000000027,77.21418421052631,0.12283827288074807,0.17101622939487215,0,0.13378357894736842,3.475460526315813,1,2,0,0,0,0,0,0
2024-01-02,48,48,1,35.47105366447916,257.73,-0.3857708333333123,1.9740000000000464,-1.9119999999999777,79.65093333333333,0.12197809588272555,0.1859570799930107,0,0.12950897916666668,2.77877083333336,1,2,0,0,0,0,0,0
2024-01-03,48,48,1,12.413118808874998,69.4401,-0.15612499999998164,0.9440000000000168,-1.1449999999999818,87.41773541666667,0.0762193400681738,0.10711342520270628,0,0.13078575,2.9311250000000264,1,2,0,0,0,0,0,0
2024-01-04,48,48,1,40.483312881625,265.258,-2.9670833333333135,-0.8929999999999723,-4.214999999999975,61.961800000000004,0.18645233269860725,0.22996844955696166,0,0.1290490625,2.4325000000000223,1,2,0,0,0,0,0,0
2024-01-05,48,46,0.9583333333333334,22.13066760869565,119.443,-1.4001739130434574,0.9140000000000441,-3.8969999999999914,72.77827608695652,0.1517059642131727,0.19893842592845062,0,0.12795158695652173,2.010934782608714,0.9583333333333333,1.9166666666666665,0,0,0,0,0,0
2024-01-06,48,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2024-01-07,24,7,0.2916666666666667,NA,442.826,1.7461428571428834,2.3380000000000223,1.2240000000000464,81.02952857142857,0.13204108532643755,0.16388002060403328,0,0.12711485714285714,2.873000000000023,0.29166666666666663,0.5833333333333333,0,0,0,0,0,0
2024-01-08,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2024-01-11,11,10,0.9090909090909091,70.462628917,219.566,0.693100000000021,0.93100000000004,0.3180000000000405,85.33422,0.09411665052321788,0.1092342288822642,3.1999999999999997,0.1471838,2.5743000000000165,0.9090909090909091,1.8181818181818181,0,0,0,0,0,0
2024-01-12,48,6,0.125,NA,0,-0.21883333333331242,0.027000000000043656,-0.36099999999999,95.47791666666666,0.027312011647719014,0.06216096732533882,0,0.147146,2.5782500000000255,0.125,0.25,0,0,0,0,0,0
2024-01-13,48,37,0.7708333333333334,78.63288288288288,328.91666666666663,-3.8827027027027023,-0.26,-6.18,96.69189189189188,0.013931429908597514,0.02078454454364781,0,NA,NA,0,0,37,37,37,0.7708333333333334,0.7708333333333334,0.7708333333333334
2024-01-14,48,48,1,16.370370370370374,74.36111111111111,-9.003541666666667,-6.07,-11.85,92.05624999999999,0.02380078544291766,0.027018359345420406,0,NA,NA,0,0,48,48,48,1,1,1
2024-01-15,28,28,1,0.22420634920634921,2.361111111111111,-14.741785714285713,-11.64,-17.15,87.20714285714286,0.024668496676126427,0.026511307712444976,0,NA,NA,0,0,28,28,28,1,1,1
2024-01-24,15,15,1,81.27688519454519,179.732,1.9726666666666863,2.1650000000000205,1.54,97.41558,0.018267651034706903,0.0287420590210119,11.110000000000005,0.20581457142857143,2.050285714285747,0.9333333333333333,1.8666666666666667,1,1,1,0.06666666666666667,0.06666666666666667,0.06666666666666667
2024-01-25,48,48,1,54.084757805291666,243.993,1.1481875000000283,2.117999999999995,0.4970000000000141,98.90318958333333,0.007326134842484068,0.01072862208546077,1.0999999999999999,0.19857595833333333,2.013031250000021,1,2,0,0,0,0,0,0
2024-01-26,48,48,1,45.746162459649206,288.377,1.5742291666666919,3.2410000000000423,0.2810000000000059,96.00545,0.028617929639403773,0.0822802251659448,9.079999999999997,0.21852304347826088,1.8345543478261104,0.9583333333333333,1.9166666666666665,2,2,2,0.041666666666666664,0.041666666666666664,0.041666666666666664
2024-01-27,48,48,1,56.594328703703724,264.19444444444446,1.6679166666666667,3.33,0.74,97.90208333333334,0.015226108889069386,0.05054750452977208,2.405,NA,NA,0,0,48,48,48,1,1,1
2024-01-28,48,48,1,57.47271527777778,325.362,2.111645833333335,3.17,1.16,92.66584583333334,0.053461037192300484,0.16882283898935302,0,0.22077966666666668,1.6381666666666963,0.0625,0.125,45,45,45,0.9375,0.9375,0.9375
2024-01-29,48,48,1,36.680555555555564,167.33333333333334,0.334375,1.18,-0.47,88.23125,0.07393304404162655,0.12422987086850712,0,NA,NA,0,0,48,48,48,1,1,1
2024-01-30,9,9,1,17.87654320987654,55,0.40444444444444444,1.39,-0.5,96.02222222222223,0.023924796425842075,0.04549611060634495,0,NA,NA,0,0,9,9,9,1,1,1
2024-02-02,17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2024-02-03,45,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2024-02-04,39,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2024-02-05,41,10,0.24390243902439024,NA,483.648,7.109400000000017,8.497000000000014,4.336000000000013,48.17601,0.5285326795956964,0.6266208286471018,0,0.1759429,0.8561000000000092,0.24390243902439007,0.48780487804878014,0,0,0,0,0,0
2024-02-06,48,48,1,67.34268293395834,386.98,0.1825625000000259,3.987000000000023,-1.9459999999999695,88.41203541666667,0.08004571653249976,0.3110307969686622,0,0.17652972916666668,1.3302604166666896,1,2,0,0,0,0,0,0
2024-02-07,44,28,0.6363636363636364,NA,400.375,2.9758928571428784,7.362000000000023,-2.069999999999993,76.18133571428571,0.20826280138845166,0.43316480533315715,0,0.17402567857142856,1.9237321428571679,0.6363636363636364,1.2727272727272727,0,0,0,0,0,0
2024-02-08,48,7,0.14583333333333334,NA,0,4.277857142857166,4.913000000000011,3.4770000000000323,69.08167142857143,0.25734486487163677,0.29151018585930377,0,0.1713562857142857,2.160714285714302,0.1458333333333334,0.2916666666666668,0,0,0,0,0,0
2024-02-09,29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
2024-02-12,17,10,0.5882352941176471,NA,565.491,3.273300000000023,4.369000000000028,1.4910000000000423,62.34155,0.29395953574891387,0.3594035316724137,0,0.1639223,1.5459000000000174,0.588235294117647,1.176470588235294,0,0,0,0,0,0
2024-02-13,44,33,0.75,67.87213108585858,334.757,-1.1901818181818107,0.9720000000000368,-4.02,74.65660303030303,0.15337681323987382,0.3190923859491025,0,0.16161928571428572,1.493678571428583,0.31818181818181807,0.6363636363636361,19,19,19,0.4318181818181818,0.4318181818181818,0.4318181818181818
2024-02-14,44,44,1,83.42798088787882,561.914,-1.1993863636363513,3.015000000000043,-5.03,71.811125,0.1749268052006478,0.36419759005294067,0,0.16079040909090908,1.614340909090934,0.5,1,22,22,22,0.5,0.5,0.5
