Date,Rg_mean_Wm2,Tair_mean_C,RH_pct_mean,P_sum,SHF_Wm2_mean,TS_C_mean,SWC_mean,n_SHF_mean,n_TS_mean,n_SWC_mean
2024-01-01,38.65890447608108,-1.6487567567567327,77.20256756756757,0,-8.281836486486487,3.4857027027027274,0.1338582162162162,3,2,1
2024-01-02,35.47092238322917,-0.4511249999999783,79.55646458333334,0,-9.429287152777778,2.781229166666692,0.12951489583333334,3,2,1
2024-01-03,12.412920544291667,-0.11039583333331512,87.37564166666667,0,-7.072632777777778,2.929322916666693,0.13080004166666667,3,2,1
2024-01-04,40.48318272954167,-2.9118958333333134,62.32264583333333,0,-10.209820416666666,2.4537291666666894,0.12908835416666667,3,2,1
2024-01-05,21.659686359574472,-1.4511063829787032,72.65274680851064,0,-9.272204468085107,2.011680851063849,0.12795614893617022,2.9375,1.9583333333333333,0.9791666666666666
2024-01-06,NA,NA,NA,NA,NA,NA,NA,0,0,0
2024-01-07,99.79727002714286,1.7461428571428834,81.02952857142857,0,-2.178668047619048,2.873000000000023,0.12711485714285714,0.875,0.5833333333333333,0.29166666666666663
2024-01-08,NA,NA,NA,NA,NA,NA,NA,0,0,0
2024-01-11,78.29180990777778,0.7347777777777966,85.42347777777778,0.0031,-5.532022222222222,2.5740555555555726,0.14721066666666666,2.7,1.8,0.9
2024-01-12,-3.2614285714285715e-4,-0.14214285714283342,93.91405714285715,1e-4,-5.526551428571429,2.5780000000000234,0.14711685714285713,0.4375,0.2916666666666668,0.1458333333333334
2024-01-13,NA,NA,NA,NA,NA,NA,NA,0,0,0
2024-01-14,NA,NA,NA,NA,NA,NA,NA,0,0,0
2024-01-15,NA,NA,NA,NA,NA,NA,NA,0,0,0
2024-01-24,80.60580463076923,2.0356923076923295,97.23867692307692,0.0103,-6.638822820512821,2.0519230769231127,0.20549361538461539,2.7857142857142856,1.8571428571428572,0.9285714285714286
2024-01-25,54.08475452696667,1.1569791666666944,98.88573333333333,0.0014000000000000002,-6.568279722222222,2.0141979166666863,0.19852283333333334,3,2,1
2024-01-26,46.379624416402976,1.5563191489361965,95.99426382978723,0.008700000000000003,-6.374977375886525,1.8375000000000243,0.21839568085106384,2.9375,1.9583333333333333,0.9791666666666666
2024-01-27,NA,NA,NA,NA,NA,NA,NA,0,0,0
2024-01-28,260.95233333333334,2.3296666666666965,88.47353333333334,0,-5.811512222222222,1.6381666666666963,0.22077966666666668,0.1875,0.125,0.0625
2024-01-29,NA,NA,NA,NA,NA,NA,NA,0,0,0
2024-01-30,NA,NA,NA,NA,NA,NA,NA,0,0,0
2024-02-02,NA,NA,NA,NA,NA,NA,NA,0,0,0
2024-02-03,NA,NA,NA,NA,NA,NA,NA,0,0,0
2024-02-04,NA,NA,NA,NA,NA,NA,NA,0,0,0
2024-02-05,244.03956777777776,7.417555555555572,47.0813,0,-6.204997037037037,0.8409444444444476,0.17559355555555556,0.6585365853658535,0.43902439024390216,0.21951219512195108
2024-02-06,67.34251831083333,0.24106250000002516,87.91581666666667,0,-4.060438645833334,1.303718750000023,0.17660177083333334,3,2,1
2024-02-07,99.35849953321429,2.8774285714285925,76.53175714285715,0,-0.9484630476190474,1.9144107142857407,0.1741669642857143,1.9090909090909087,1.2727272727272727,0.6363636363636364
2024-02-08,1.4029249999999988e-4,4.278750000000024,69.45085,0,-1.6339043750000002,2.206562500000018,0.171395875,0.5,0.33333333333333315,0.16666666666666657
2024-02-09,NA,NA,NA,NA,NA,NA,NA,0,0,0
2024-02-12,471.4984,3.273300000000023,62.34155,0,-7.255718666666667,1.5459000000000174,0.1639223,1.875,1.25,0.625
2024-02-13,158.26093538461538,0.38307692307694197,54.02913846153846,0,-4.300525333333333,1.494346153846165,0.1616203076923077,0.8863636363636361,0.5909090909090909,0.29545454545454547
2024-02-14,163.66737400454545,1.0259545454545693,59.33249545454545,0,-3.4426767727272725,1.5899090909091145,0.16086222727272728,1.5,1,0.5
2024-02-15,25.80313097272727,0.7804545454545695,62.38716818181818,1e-4,-5.50329443030303,1.580636363636392,0.16000772727272727,1.5,1,0.5
2024-02-16,0.009693161185714286,-0.9858571428571281,64.91547142857142,0,-4.0093161904761905,1.5682142857142967,0.15968428571428572,0.724137931034483,0.48275862068965536,0.24137931034482768
2024-02-17,43.39677276574211,-6.6933421052631346,71.3734105263158,0,-5.133232982456141,1.272802631578978,0.16110205263157895,3,2,1
2024-02-18,75.3061762943079,-1.9005789473683992,64.13212894736841,3.0000000000000003e-4,-5.670019473684211,1.0878552631579144,0.1605997105263158,3,2,1
2024-02-19,115.53331967479473,-3.9316842105262944,70.11799736842106,0,-6.878523684210526,0.8989078947368693,0.15958413157894738,2.923076923076923,1.9487179487179487,0.9743589743589743
2024-02-20,108.07146907980002,1.215153846153867,62.9203717948718,0,-7.175745042735043,0.6708076923077153,0.16111684615384617,3,2,1
2024-02-21,120.85773549808336,7.75322916666669,55.391589583333335,0,-1.1978172291666667,1.4631562500000235,0.19951164583333333,3,2,1
2024-02-22,153.2177896795,5.690312500000024,66.60361041666667,0,1.565237208333333,2.4796354166666874,0.19688050000000001,3,2,1
2024-02-23,92.66019875125416,3.039125000000027,64.10480208333334,0,-3.652340652777778,2.3178020833333575,0.1838384375,3,2,1
2024-02-24,138.89469545048718,-5.7383589743589525,50.38488717948718,0,-9.53179700854701,0.9531794871795114,0.18433428205128205,3,2,1
2024-02-25,112.904061161135,-0.44514999999997507,64.4834025,0,-7.202902658333333,0.5841500000000209,0.18084225,2.926829268292683,1.951219512195122,0.975609756097561
2024-02-26,158.6643783451875,5.871395833333358,60.7776625,0,-0.49635055555555524,1.5371770833333556,0.17895610416666666,3,2,1
2024-02-27,149.69634054710207,14.546083333333353,62.59367708333333,0,15.102151388888887,4.80221875000002,0.17772064583333333,3,2,1
2024-02-28,66.5064780594186,3.458395348837232,77.61362558139535,2e-4,0.8343878759689918,4.8867093023256025,0.17712011627906976,3,2,1
2024-02-29,147.44705636371845,-5.169564102564083,54.30685384615385,0,-13.658229743589743,1.0598461538461712,0.17672717948717948,3,2,1
2024-03-01,153.99660824510235,2.0229767441860718,48.01593488372093,0,-6.687765112054264,1.1065232558139795,0.17730481395348838,2.2325581395348837,2,1
2024-03-02,170.82223487687497,6.012979166666686,61.23085625,0,5.0820722968749985,3.0365729166666906,0.17654164583333334,2,2,1
2024-03-03,177.17048251249997,9.138479166666695,72.86212916666666,0,6.816722166666666,4.194916666666687,0.17290816666666667,2,2,1
2024-03-04,90.87789502866438,14.642583333333354,70.25884166666667,0,13.338802291666667,6.594520833333361,0.17100039583333335,2,2,1
2024-03-05,56.04917773437499,10.201729166666686,86.98845416666667,0.0291,9.58664814375,7.647354166666686,0.22407333333333332,2,2,1
2024-03-06,197.07870694479166,6.391208333333357,66.77385208333334,0,0.8456746369791669,6.223427083333353,0.20997666666666667,2,2,1
2024-03-07,91.80549212387501,4.090125000000024,57.29886875,0,-5.457010458333333,4.687760416666682,0.196705625,2,2,1
