site,Year,ustar_scenario,NEE_gC_total,NEE_gC_GS
LD,2024,U05,-352.5158653942641,-493.18765716948104
LD,2024,U50,-320.2069878579891,-462.1514277726059
LD,2024,U95,-277.385331745019,-424.5192889293703
MD,2024,U05,-361.1932050365141,-513.7887808733684
MD,2024,U50,-364.8705046021595,-522.7197748144813
MD,2024,U95,-370.7020830174435,-526.1507222756732
