Date,Year,DaysSinceGSStart,LD_cum_NEE_gC,MD_cum_NEE_gC,LD_cum_GPP_gC,MD_cum_GPP_gC,LD_cum_Reco_gC,MD_cum_Reco_gC,MD_minus_LD_cum_NEE_gC,MD_minus_LD_cum_GPP_gC,MD_minus_LD_cum_Reco_gC
2024-03-28,2024,0,-1.2034690796950613,-2.06140918619474,2.7456759502886365,3.740541673243104,1.542206870593575,1.6791324870483642,-0.8579401064996786,0.9948657229544673,0.13692561645478918
2024-03-29,2024,1,-2.3828075124183483,-4.189341166040968,5.27577115770743,7.725514479332709,2.8929636452890817,3.536173313291741,-1.80653365362262,2.449743321625279,0.6432096680026591
2024-03-30,2024,2,-2.259581072924674,-2.0629227259746323,6.239541372366926,7.752553183208055,3.9799602994422507,5.689630457233424,0.1966583469500418,1.513011810841129,1.709670157791173
2024-03-31,2024,3,-2.5667932746815483,-2.725629423566654,7.3296914985120765,10.951740793030266,4.762898223830527,8.226111369463613,-0.15883614888510555,3.62204929451819,3.4632131456330857
2024-04-01,2024,4,-3.823297401583825,-2.5711021024274396,9.100450208696994,13.928024445395128,5.277152807113169,11.356922342967689,1.2521952991563854,4.827574236698133,6.07976953585452
2024-04-02,2024,5,-2.8239289498714135,-2.690206413276304,8.272638301167754,17.271180713940577,5.4487093512963405,14.580974300664275,0.13372253659510935,8.998542412772823,9.132264949367935
2024-04-03,2024,6,-5.492518332629201,-3.009137496788462,11.071080430493096,20.664189430685273,5.578562097863892,17.655051933896814,2.483380835840739,9.593109000192177,12.076489836032923
2024-04-04,2024,7,-5.9291164243286305,-3.4401802206391623,11.871371084861627,23.977909795257418,5.942254660532995,20.53772957461826,2.488936203689468,12.10653871039579,14.595474914085266
2024-04-05,2024,8,-8.14190595730852,-3.8560014797888167,14.708147387042395,27.174845521271845,6.566241429733872,23.318844041483032,4.285904477519703,12.46669813422945,16.75260261174916
2024-04-06,2024,9,-11.093082879157953,-5.153864619341469,18.60097981798745,31.35456894473056,7.507896938829495,26.200704325389093,5.939218259816483,12.753589126743108,18.6928073865596
2024-04-07,2024,10,-12.203862986136292,-5.145546430681284,21.206492252597133,34.657220489897945,9.002629266460838,29.511674059216663,7.058316555455008,13.450728237300812,20.509044792755823
2024-04-08,2024,11,-13.374715324368292,-6.232877447272687,24.67356882267714,39.70807158668174,11.298853498308844,33.475194139409055,7.141837877095606,15.0345027640046,22.17634064110021
2024-04-09,2024,12,-14.881607477046938,-7.500768636496828,29.18311761539168,45.36939480141875,14.301510138344737,37.86862616492192,7.38083884055011,16.18627718602707,23.56711602657718
2024-04-10,2024,13,-16.485251773208294,-9.097033776583961,34.12090259138086,51.31807405095672,17.635650818172564,42.221040274372754,7.388217996624332,17.197171459575856,24.58538945620019
2024-04-11,2024,14,-15.354337912306741,-5.974434366037052,36.77035516487721,52.63037907527983,21.416017252570462,46.65594470924278,9.37990354626969,15.860023910402624,25.23992745667232
2024-04-12,2024,15,-14.819979898640716,-4.565952707137743,40.263381262252096,55.48148006268078,25.44340136361138,50.915527355543034,10.254027191502972,15.218098800428685,25.472125991931655
2024-04-13,2024,16,-16.117812359388342,-6.545045410441744,46.10525687998975,61.80917006761226,29.98744452060141,55.26412465717051,9.572766948946597,15.703913187622504,25.2766801365691
