DateTime,Date,Rg_used_Wm2,Tair_used_C,RH_used_pct,VPD_used_kPa,P_used_mm_30,Rg_src,Tair_src,RH_src,SWC,TS,n_SWC,n_TS,TS_C
2024-01-01T21:00:00Z,2024-01-01,33.599,-1.5319999999999823,77.7234,0.12162192122616589,0,biomet,biomet,biomet,0.132295,276.48,1,2,3.330000000000041
2024-01-01T21:30:00Z,2024-01-01,19.4331,-1.7439999999999714,77.764,0.11951585685156235,0,biomet,biomet,biomet,0.132023,276.4415,1,2,3.291500000000042
2024-01-01T22:00:00Z,2024-01-01,11.1155,-1.905999999999949,76.7421,0.1235206035009524,0,biomet,biomet,biomet,0.131645,276.4045,1,2,3.2545000000000073
2024-01-01T22:30:00Z,2024-01-01,3.2558,-2.002999999999986,75.6457,0.12841849476184874,0,biomet,biomet,biomet,0.131466,276.3625,1,2,3.212500000000034
2024-01-01T23:00:00Z,2024-01-01,0.331755,-2.1329999999999814,74.8981,0.1310922710967734,0,biomet,biomet,biomet,0.131192,276.31100000000004,1,2,3.161000000000058
2024-01-01T23:30:00Z,2024-01-01,9.61775e-4,-2.155999999999949,76.431,0.12287721955456171,0,biomet,biomet,biomet,0.131061,276.2735,1,2,3.1235000000000355
2024-01-02T00:00:00Z,2024-01-01,0,-2.086999999999989,77.644,0.11715065066368863,0,biomet,biomet,biomet,0.131022,276.24649999999997,1,2,3.096499999999992
2024-01-02T00:30:00Z,2024-01-02,0,-1.9119999999999777,77.4951,0.1194684598677418,0,biomet,biomet,biomet,0.13096,276.225,1,2,3.0750000000000455
2024-01-02T01:00:00Z,2024-01-02,0,-1.7090000000000032,76.7891,0.12507869830326518,0,biomet,biomet,biomet,0.130894,276.192,1,2,3.04200000000003
2024-01-02T01:30:00Z,2024-01-02,0,-1.5819999999999936,75.6507,0.13244883882282338,0,biomet,biomet,biomet,0.130676,276.1585,1,2,3.0085000000000264
2024-01-02T02:00:00Z,2024-01-02,0,-1.5109999999999673,75.2562,0.13530121103999249,0,biomet,biomet,biomet,0.130543,276.12350000000004,1,2,2.973500000000058
2024-01-02T02:30:00Z,2024-01-02,0,-1.4379999999999882,77.2412,0.12511831218598396,0,biomet,biomet,biomet,0.130542,276.098,1,2,2.948000000000036
2024-01-02T03:00:00Z,2024-01-02,0,-1.3449999999999704,77.6461,0.1237368402640911,0,biomet,biomet,biomet,0.130517,276.07899999999995,1,2,2.9289999999999736
2024-01-02T03:30:00Z,2024-01-02,0,-1.2620000000000005,76.955,0.12834378552151482,0,biomet,biomet,biomet,0.130633,276.0565,1,2,2.906500000000051
2024-01-02T04:00:00Z,2024-01-02,0,-1.2439999999999714,77.444,0.12578683637586113,0,biomet,biomet,biomet,0.130708,276.025,1,2,2.875
2024-01-02T04:30:00Z,2024-01-02,0,-1.287999999999954,78.3976,0.12007966276948256,0,biomet,biomet,biomet,0.1302,276.0065,1,2,2.8565000000000396
2024-01-02T05:00:00Z,2024-01-02,0,-1.3100000000000023,79.2154,0.11534694705416965,0,biomet,biomet,biomet,0.129864,275.9835,1,2,2.833500000000015
2024-01-02T05:30:00Z,2024-01-02,0,-1.1970000000000027,79.6315,0.11398115921313207,0,biomet,biomet,biomet,0.129538,275.9705,1,2,2.820500000000038
2024-01-02T06:00:00Z,2024-01-02,0,-1.132000000000005,80.4522,0.10991239121344798,0,biomet,biomet,biomet,0.129467,275.9585,1,2,2.8085000000000377
2024-01-02T06:30:00Z,2024-01-02,0,-1.0809999999999604,80.5847,0.1095771382439813,0,biomet,biomet,biomet,0.129166,275.94550000000004,1,2,2.795500000000061
2024-01-02T07:00:00Z,2024-01-02,0,-1.007000000000005,80.4511,0.11093224052381129,0,biomet,biomet,biomet,0.129058,275.92499999999995,1,2,2.7749999999999773
2024-01-02T07:30:00Z,2024-01-02,0,-1.009999999999991,82.0091,0.10206873163654312,0,biomet,biomet,biomet,0.129022,275.9135,1,2,2.763500000000022
2024-01-02T08:00:00Z,2024-01-02,0,-0.9939999999999714,80.6216,0.11006969153982588,0,biomet,biomet,biomet,0.129017,275.90099999999995,1,2,2.7509999999999764
