site,Year,n_hh_total.x,n_hh_NEE_nonmissing,n_hh_GPP_nonmissing,n_hh_Reco_nonmissing,NEE_gC_total,GPP_gC_total,Reco_gC_total,NEE_gC_GS,GPP_gC_GS,Reco_gC_GS,NEE_SD_rand_gC_total,NEE_SD_rand_gC_GS,NEE_SD_ustar_gC_total,NEE_SD_ustar_gC_GS,n_hh_total.y,n_hh_measured,n_hh_modeled,pct_hh_modeled,n_hh_GS_total,n_hh_GS_measured,n_hh_GS_modeled,pct_hh_GS_modeled,NEE_SD_total_gC_total,NEE_SD_total_gC_GS
LD,2024,17567,17567,17567,17567,-320.2069878579874,2170.7900244841467,1850.5830366261625,-462.15142777260434,2046.3215222248634,1584.170094452263,11.811488414844447,9.43187434521457,7.463268783475307,7.367969674799525,17567,10406,7161,40.76393237319975,10464,6907,3557,33.9927370030581,13.971815898744213,11.968593517731405
MD,2024,17567,17567,17567,17567,-364.87050460216074,2126.7327856147194,1761.8622810125519,-522.7197748144814,1996.6719218492817,1473.9521470347945,13.883615324811712,10.991874780198945,5.034763574275447,3.9896146651770987,17567,15589,1978,11.259748391871122,10464,9564,900,8.600917431192661,14.76833161654347,11.693516851664848
