Date,LD_NEE_gC_day,MD_NEE_gC_day,LD_GPP_gC_day,MD_GPP_gC_day,LD_Reco_gC_day,MD_Reco_gC_day,LD_VPD_mean_kPa,MD_VPD_mean_kPa,LD_VPD_day_kPa,MD_VPD_day_kPa,LD_VPD_midday_kPa,MD_VPD_midday_kPa,n_hh,n_Rg,frac_Rg,Rg_mean_Wm2,Rg_max_Wm2,Tair_mean_C,Tair_max_C,Tair_min_C,RH_mean_pct,VPD_mean_kPa,VPD_max_kPa,P_used_mm,SWC_mean,TS_mean_C,n_SWC_mean,n_TS_mean,n_Rg_from_Grant,n_Tair_from_Grant,n_RH_from_Grant,frac_Rg_from_Grant,frac_Tair_from_Grant,frac_RH_from_Grant
2024-01-13,0.9007925885026973,1.6074557687304003,0.21071140145255482,-0.6198476501506502,1.111503989955252,0.98760811857975,0.10527655813953489,0.08409968181818181,NA,NA,0.09232646,0.1136308,48,37,0.7708333333333334,78.63288288288288,328.91666666666663,-3.8827027027027023,-0.26,-6.18,96.69189189189188,0.013931429908597514,0.02078454454364781,0,NA,NA,0,0,37,37,37,0.7708333333333334,0.7708333333333334,0.7708333333333334
2024-01-14,0.7545328764191999,1.0952460409464002,0.07901165129082552,-0.1770430615687329,0.8335445277100254,0.9182029793776669,0.032830387499999995,0.005155462618750002,NA,NA,0.02715679,8.7895077e-4,48,48,1,16.370370370370374,74.36111111111111,-9.003541666666667,-6.07,-11.85,92.05624999999999,0.02380078544291766,0.027018359345420406,0,NA,NA,0,0,48,48,48,1,1,1
2024-01-15,0.834803703144,0.7317008314639202,-0.3111014331824647,0.032643115580322526,0.5237022699615355,0.7643439470442426,0.008138454285714285,7.331156250000007e-4,NA,NA,NA,0,28,28,1,0.22420634920634921,2.361111111111111,-14.741785714285713,-11.64,-17.15,87.20714285714286,0.024668496676126427,0.026511307712444976,0,NA,NA,0,0,28,28,28,1,1,1
2024-01-16,0.8361191262960002,0.813054955608,-0.31668308652580246,-0.0675712061702099,0.5194360397701976,0.74548374943779006,NA,0.004140228125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-17,0.8356685345205489,0.7791559523511429,-0.1955147695778267,0.06415116034764586,0.6401537649427221,0.8433071126987892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-18,0.7648075015281018,0.708329023958419,0.18421299482152692,0.4435898690387955,0.9490204963496285,1.1519188929972146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-19,0.7138936116574804,1.0641402929076822,0.2962250737256638,0.16052550822396244,1.0101186853831443,1.2246658011316445,NA,0.07040931111111111,NA,NA,NA,0.0780869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-20,0.694680526945307,1.0963294932132002,0.35316013592223383,0.15544131657693072,1.0478406628675407,1.2517708097901303,NA,0.022839779291666664,NA,NA,NA,0.045321493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-21,0.6890720194627169,0.9975351823631999,0.4042692432497956,0.2717978342685172,1.093341262712512,1.269333016631717,NA,0.04606785574468085,NA,NA,NA,0.06866436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-22,0.7075398366474306,0.8257598723520001,0.4628632389958738,0.487481660242495,1.1704030756433041,1.313241532594495,NA,0.061192961604166665,NA,NA,NA,0.03953683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-01-23,0.7596820220373258,14.613783413737716,0.48115297941687224,-13.264532123251582,1.240835001454198,1.349251290486134,NA,0.1788452731707317,NA,NA,NA,0.1254138625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
