site,Year,n_hh_total,n_hh_NEE_nonmissing,n_hh_GPP_nonmissing,n_hh_Reco_nonmissing,NEE_gC_total,GPP_gC_total,Reco_gC_total,NEE_gC_GS,GPP_gC_GS,Reco_gC_GS
LD,2024,17567,17567,17567,17567,-320.2069878579874,2170.7900244841467,1850.5830366261625,-462.15142777260434,2046.3215222248634,1584.170094452263
MD,2024,17567,17567,17567,17567,-364.87050460216074,2126.7327856147194,1761.8622810125519,-522.7197748144814,1996.6719218492817,1473.9521470347945
