site,n_kept_neg,median_NEE,p01_NEE,p001_NEE,min_NEE,median_Rg,median_Ustar,median_VPD
LD,3898,-9.16759365,-30.141168800000003,-37.93797947,-39.759410700000004,353.5175,0.360331,0.617167
MD,4883,-10.467985899999999,-29.694656800000004,-40.66776216,-52.982400000000005,385.369,0.387372,0.814485
