event_id,review_type,site,DateTime,NEE_raw,NEE_auto_screened,NEE_kept_for_diag,Rg,Ustar,VPD,wind_dir,qc_co2_flux,GrowingSeason,WinterWindow,is_daytime,is_transition,is_night,low_ustar,flag_fetch_excluded,flag_extreme_negative,auto_remove_nee,decision,reason
LD_large_negative_night_20250907_0500,large_negative_night,LD,2025-09-07T09:00:00Z,-35.3803,-35.3803,-35.3803,8.98E-04,0.205551,0.102968,212.917,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillary period
LD_large_negative_night_20251002_2230,large_negative_night,LD,2025-10-03T02:30:00Z,-45.945849,-45.945849,-45.945849,3.22E-04,0.149168,0.158405,95.9665,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_large_negative_night_20251016_2100,large_negative_night,LD,2025-10-17T01:00:00Z,-31.63348,-31.63348,-31.63348,0,0.161322,0.414304,99.9701,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillary period
LD_large_negative_night_20251021_0330,large_negative_night,LD,2025-10-21T07:30:00Z,-37.52471,-37.52471,-37.52471,0,0.51228,NA,189.789,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_large_negative_night_20251023_0200,large_negative_night,LD,2025-10-23T06:00:00Z,-31.42143,-31.42143,-31.42143,0,0.397615,NA,282.625,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_large_negative_night_20251102_0530,large_negative_night,LD,2025-11-02T10:30:00Z,-37.2159,-37.2159,-37.2159,0,0.107087,NA,152.651,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,trend
LD_large_negative_transition_20251120_1530,large_negative_transition,LD,2025-11-20T20:30:00Z,-30.35661,-30.35661,-30.35661,18.0415,0.321917,NA,188.503,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,ossillary period
LD_large_negative_night_20251218_1700,large_negative_night,LD,2025-12-18T22:00:00Z,-30.92869,-30.92869,-30.92869,4.43832,0.691623,NA,167.233,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,trend
LD_large_negative_night_20251228_0700,large_negative_night,LD,2025-12-28T12:00:00Z,-42.9348,-42.9348,-42.9348,0,0.305793,NA,98.1159,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillary period
LD_large_negative_night_20251228_0900,large_negative_night,LD,2025-12-28T14:00:00Z,-34.68478,-34.68478,-34.68478,3.39162,0.278356,NA,96.6424,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,ossillary period
