event_id,review_type,site,DateTime,NEE_raw,NEE_auto_screened,NEE_kept_for_diag,Rg,Ustar,VPD,wind_dir,qc_co2_flux,GrowingSeason,WinterWindow,is_daytime,is_night,low_ustar,flag_remove_high_positive,flag_impossible,auto_remove_nee,decision,reason
LD_high_night_20240520_1900,high_night,LD,2024-05-20T23:00:00Z,68.1221,68.1221,68.1221,8.42534,0.415922,0,213.822,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,isolated event
LD_high_night_20240601_2230,high_night,LD,2024-06-02T02:30:00Z,63.75788,63.75788,63.75788,5.37E-05,0.427879,0,134.443,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,multiple jagged spikes
LD_high_night_20240601_2330,high_night,LD,2024-06-02T03:30:00Z,116.38871,116.38871,116.38871,0,0.505966,0,140.848,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,multiple jagged spikes
LD_high_night_20240602_0030,high_night,LD,2024-06-02T04:30:00Z,114.47341,114.47341,114.47341,0,0.349284,0,137.373,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,multiple jagged spikes
LD_high_day_20240622_1800,high_day,LD,2024-06-22T22:00:00Z,112.7239,112.7239,112.7239,53.6371,0.233473,0,186.615,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,remove,isolated event
LD_high_night_20240623_0000,high_night,LD,2024-06-23T04:00:00Z,91.75567,91.75567,91.75567,0,0.20457,0,91.5321,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,spike
LD_high_night_20240624_0330,high_night,LD,2024-06-24T07:30:00Z,69.7504,69.7504,69.7504,9.81E-05,0.014858,0,265.104,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,remove,sign change
LD_high_night_20240629_0330,high_night,LD,2024-06-29T07:30:00Z,137.99808,137.99808,137.99808,0,0.427933,0,166.114,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,remove,sign change
LD_high_night_20240713_0400,high_night,LD,2024-07-13T08:00:00Z,65.3806,65.3806,65.3806,0,0.0499124,0,239.915,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,remove,sign change
LD_high_night_20240715_0400,high_night,LD,2024-07-15T08:00:00Z,50.84309,50.84309,50.84309,0,0.578229,0,158.981,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,keep,trend
