event_id,review_type,site,DateTime,NEE_raw,NEE_auto_screened,NEE_kept_for_diag,Rg,Ustar,VPD,wind_dir,qc_co2_flux,GrowingSeason,WinterWindow,is_daytime,is_night,low_ustar,flag_fetch_excluded,flag_remove_high_positive,flag_impossible,auto_remove_nee
LD_high_night_20240713_0400,high_night,LD,2024-07-13T08:00:00Z,65.3806,65.3806,65.3806,0,0.0499124,0,239.915,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20240715_0400,high_night,LD,2024-07-15T08:00:00Z,50.843090000000004,50.843090000000004,50.843090000000004,0,0.578229,0,158.981,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20240716_0100,high_night,LD,2024-07-16T05:00:00Z,94.79876,94.79876,94.79876,0,0.376827,0,162.653,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20240716_0230,high_night,LD,2024-07-16T06:30:00Z,87.04501,87.04501,87.04501,0,0.24414,0,266.546,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_day_20240720_0800,high_day,LD,2024-07-20T12:00:00Z,55.3264,55.3264,55.3264,118.647,0.177776,0,233.6,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_day_20240729_1730,high_day,LD,2024-07-29T21:30:00Z,121.1799,121.1799,121.1799,82.8068,0.348288,0,121.966,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_day_20240729_1800,high_day,LD,2024-07-29T22:00:00Z,112.81805,112.81805,112.81805,110.472,0.246799,0,152.834,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20240823_0400,high_night,LD,2024-08-23T08:00:00Z,86.77600000000001,86.77600000000001,86.77600000000001,5.59905e-4,0.271238,0.057710700000000004,162.539,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20240925_0300,high_night,LD,2024-09-25T07:00:00Z,58.99984,58.99984,58.99984,0,0.528779,0,300.753,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20240927_0300,high_night,LD,2024-09-27T07:00:00Z,70.3933,70.3933,70.3933,0,0.0135882,0,154.789,2,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20241002_0630,high_night,LD,2024-10-02T10:30:00Z,71.1917,71.1917,71.1917,0,0.0852328,0,91.3785,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20241025_0800,high_night,LD,2024-10-25T12:00:00Z,64.6239,64.6239,64.6239,0.0309471,0.287674,0,163.639,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20241101_0200,high_night,LD,2024-11-01T06:00:00Z,117.9456,117.9456,117.9456,0,0.865093,0.220334,271.11,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20241101_0230,high_night,LD,2024-11-01T06:30:00Z,62.308460000000004,62.308460000000004,62.308460000000004,0,0.830612,0.20656200000000002,271.217,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20241101_0330,high_night,LD,2024-11-01T07:30:00Z,106.11439999999999,106.11439999999999,106.11439999999999,0,0.613934,0.09523770000000001,269.62,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20241101_0600,high_night,LD,2024-11-01T10:00:00Z,58.4792,58.4792,58.4792,0,0.571346,NA,304.816,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20241103_2000,high_night,LD,2024-11-04T01:00:00Z,113.59287,113.59287,113.59287,0,0.582849,0.5740700000000001,114.429,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20241104_0230,high_night,LD,2024-11-04T07:30:00Z,65.2397,65.2397,65.2397,0,0.391086,0.015241,134.07,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_day_20241104_1000,high_day,LD,2024-11-04T15:00:00Z,89.2234,89.2234,89.2234,59.6864,0.474508,NA,169.075,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LD_high_night_20241104_2000,high_night,LD,2024-11-05T01:00:00Z,112.42160000000001,112.42160000000001,112.42160000000001,0,0.409713,NA,211.852,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
