site,Year,ustar_scenario,NEE_gC_total,NEE_gC_GS
LD,2025,U05,-320.9893868165481,-515.7696976798312
LD,2025,U50,-311.9865102701686,-505.02501699006706
LD,2025,U95,-285.23296031233184,-482.7195225880555
MD,2025,U05,-482.9212978594663,-586.9799253678965
MD,2025,U50,-485.1034834814052,-589.6702944076376
MD,2025,U95,-478.4757022337681,-580.9711237210872
