Date,n_hh,n_Rg,frac_Rg,Rg_mean_Wm2,Rg_max_Wm2,Tair_mean_C,Tair_max_C,Tair_min_C,RH_mean_pct,VPD_mean_kPa,VPD_max_kPa,P_used_mm,SWC_mean,TS_mean_C,n_SWC_mean,n_TS_mean,n_Rg_from_Grant,n_Tair_from_Grant,n_RH_from_Grant,frac_Rg_from_Grant,frac_Tair_from_Grant,frac_RH_from_Grant
2025-01-02,38,38,1,28.115711739226843,109.471,-4.5234736842105026,-3.2539999999999623,-5.291999999999973,76.04473157894736,0.10489845568262963,0.13001516105818217,0,0.284102,2.1987719298245842,2,3,0,0,0,0,0,0
2025-01-03,47,47,1,38.088238644685106,165.664,-5.535872340425508,-4.233000000000004,-7.168999999999983,86.76258936170213,0.05662043673623048,0.09214823584504961,0,0.27990736170212765,1.8041134751773258,2,3,0,0,0,0,0,0
2025-01-04,48,48,1,41.14866283706494,202.188,-8.298708333333314,-7.189999999999998,-9.142999999999972,77.59108125,0.07356497088125327,0.10072292813442205,0,0.27766957291666666,1.5838611111111345,2,3,0,0,0,0,0,0
2025-01-05,37,37,1,25.600457821469732,134.851,-9.112891891891872,-6.231999999999971,-10.604999999999961,77.4062972972973,0.06967988945401499,0.09805700632357933,0,0.2746052972972973,1.3997747747748015,2,3,0,0,0,0,0,0
2025-01-06,5,5,1,4.6936297638,16.8626,-5.2259999999999875,-4.59699999999998,-5.689999999999998,68.35332,0.13127579518405294,0.14960669854096525,0,0.2683418,1.1628666666666958,2,3,0,0,0,0,0,0
2025-01-07,31,31,1,8.483514136049244,97.4287,-5.416645161290297,-3.7889999999999873,-7.984999999999957,73.90216129032258,0.10972174249943138,0.15031045311001745,0,0.2648967741935484,1.0294086021505604,2,3,0,0,0,0,0,0
2025-01-08,14,14,1,46.98024318692857,136.808,-6.184285714285693,-5.5919999999999845,-6.728999999999985,76.57229285714286,0.09025445035315471,0.12036233450455919,0,0.2628178214285714,0.9427619047619292,2,3,0,0,0,0,0,0
2025-01-09,36,36,1,10.136241350350831,129.789,-9.524472222222204,-4.213999999999999,-12.149000000000001,75.34858055555556,0.07644264563604124,0.18539203795073217,0,0.2612997222222222,0.8091759259259482,2,3,0,0,0,0,0,0
2025-01-10,48,48,1,30.166852926927703,130.179,-5.378354166666641,-3.984999999999957,-6.377999999999986,79.55531875,0.08417850445102801,0.16214989067013383,0,0.2538354479166667,0.567277777777799,2,3,0,0,0,0,0,0
2025-01-11,34,34,1,8.670545666999999,146.214,-3.4622941176470396,-0.9279999999999973,-4.266999999999996,95.92201176470589,0.04988316435774745,0.1666713711654616,0,0.25819604411764707,0.5970686274510028,2,3,0,0,0,0,0,0
2025-01-12,48,48,1,30.5447141083125,184.867,-2.534458333333312,0.04600000000004911,-4.132000000000005,88.03154583333334,0.0701423631849822,0.1471224943655829,0,0.26230032291666666,0.7817500000000261,2,3,0,0,0,0,0,0
2025-01-13,48,48,1,36.423364886729175,175.905,-5.563624999999978,0.3690000000000282,-9.391999999999996,79.70450625,0.08026326193432544,0.1121842343588233,0,0.2638779375,0.9643472222222419,2,3,0,0,0,0,0,0
