DateTime,Date,Rg_used_Wm2,Tair_used_C,RH_used_pct,VPD_used_kPa,P_used_mm_30,Rg_src,Tair_src,RH_src,SWC,TS,n_SWC,n_TS,TS_C
2025-01-02T05:30:00Z,2025-01-02,0,-3.2539999999999623,77.1175,0.10993207661874627,0,biomet,biomet,biomet,0.286862,275.69966666666664,2,3,2.549666666666667
2025-01-02T06:00:00Z,2025-01-02,0,-3.4259999999999877,75.3337,0.11698556960353901,0,biomet,biomet,biomet,0.28667750000000003,275.677,2,3,2.5270000000000437
2025-01-02T06:30:00Z,2025-01-02,4.14197e-5,-3.5849999999999795,73.4622,0.12437007770209801,0,biomet,biomet,biomet,0.2865405,275.654,2,3,2.504000000000019
2025-01-02T07:00:00Z,2025-01-02,8.87562e-6,-3.7450000000000045,71.9224,0.13001516105818217,0,biomet,biomet,biomet,0.286388,275.63100000000003,2,3,2.4810000000000514
2025-01-02T07:30:00Z,2025-01-02,4.04335e-5,-3.84699999999998,73.3272,0.12256686309367743,0,biomet,biomet,biomet,0.28623200000000004,275.608,2,3,2.458000000000027
2025-01-02T08:00:00Z,2025-01-02,0,-3.984999999999957,74.7104,0.11501039626608156,0,biomet,biomet,biomet,0.286086,275.58566666666667,2,3,2.435666666666691
2025-01-02T08:30:00Z,2025-01-02,0,-4.073999999999955,75.3364,0.11141421140009916,0,biomet,biomet,biomet,0.285939,275.56466666666665,2,3,2.414666666666676
2025-01-02T09:00:00Z,2025-01-02,7.14983e-5,-4.21999999999997,78.8268,0.0945998463429093,0,biomet,biomet,biomet,0.28577600000000003,275.54533333333336,2,3,2.395333333333383
2025-01-02T09:30:00Z,2025-01-02,9.56598e-5,-4.5049999999999955,77.7127,0.09745697319933627,0,biomet,biomet,biomet,0.285628,275.52433333333335,2,3,2.374333333333368
2025-01-02T10:00:00Z,2025-01-02,7.69223e-5,-4.540999999999997,75.9557,0.10485402591002985,0,biomet,biomet,biomet,0.28545299999999996,275.501,2,3,2.350999999999999
2025-01-02T10:30:00Z,2025-01-02,0,-4.7309999999999945,75.5421,0.10513447812602356,0,biomet,biomet,biomet,0.2852735,275.4773333333333,2,3,2.3273333333333426
2025-01-02T11:00:00Z,2025-01-02,0,-4.900999999999954,75.9485,0.10206341821993126,0,biomet,biomet,biomet,0.2851045,275.454,2,3,2.3040000000000305
2025-01-02T11:30:00Z,2025-01-02,0,-4.9529999999999745,73.5523,0.11178972037118795,0,biomet,biomet,biomet,0.28493999999999997,275.43,2,3,2.2800000000000296
2025-01-02T12:00:00Z,2025-01-02,0,-5.104999999999961,75.2945,0.10322695172299484,0,biomet,biomet,biomet,0.284758,275.40566666666666,2,3,2.2556666666666843
2025-01-02T12:30:00Z,2025-01-02,2.91664e-4,-5.164999999999964,77.6094,0.09312879190110707,0,biomet,biomet,biomet,0.2845745,275.38233333333335,2,3,2.232333333333372
2025-01-02T13:00:00Z,2025-01-02,0.0452466,-5.227999999999952,79.3567,0.08545077005270763,0,biomet,biomet,biomet,0.284413,275.3616666666667,2,3,2.2116666666667015
2025-01-02T13:30:00Z,2025-01-02,0.867479,-5.1749999999999545,79.1469,0.08666795737341415,0,biomet,biomet,biomet,0.2842495,275.34233333333333,2,3,2.1923333333333517
