site,Year,n_hh_total,n_hh_measured,n_hh_modeled,pct_hh_modeled,n_hh_GS_total,n_hh_GS_measured,n_hh_GS_modeled,pct_hh_GS_modeled
LD,2025,17519,10958,6561,37.45076773788458,9600,5910,3690,38.4375
MD,2025,17519,15287,2232,12.74045322221588,9600,9223,377,3.9270833333333335
