site,Date,Year,DOY,GrowingSeason,NEE_gC_day,GPP_gC_day,Reco_gC_day,cum_NEE_gC,cum_GPP_gC,cum_Reco_gC
LD,2025-01-01,2025,1,FALSE,0.7434393397948801,0.31604533247217836,1.0594846722670586,0.7434393397948801,0.31604533247217836,1.0594846722670586
LD,2025-01-02,2025,2,FALSE,1.0051156529612788,0.3717972353558489,1.3769128883171278,1.748554992756159,0.6878425678280273,2.4363975605841866
LD,2025-01-03,2025,3,FALSE,0.7811337405442897,0.5229850568669424,1.3041187974112325,2.529688733300449,1.2108276246949696,3.740516357995419
LD,2025-01-04,2025,4,FALSE,0.9589455765503996,0.11891892110407391,1.0778644976544738,3.4886343098508483,1.3297465457990436,4.818380855649893
LD,2025-01-05,2025,5,FALSE,1.3847783024773626,-0.3852931263643685,0.9994851761129945,4.873412612328211,0.9444534194346751,5.817866031762887
LD,2025-01-06,2025,6,FALSE,1.2624032837123624,-0.19722760895267932,1.0651756747596828,6.135815896040574,0.7472258104819958,6.88304170652257
LD,2025-01-07,2025,7,FALSE,0.9463134256118609,0.18123039657750148,1.1275438221893619,7.0821293216524355,0.9284562070594973,8.010585528711932
LD,2025-01-08,2025,8,FALSE,0.5676986527777418,0.4337896294125224,1.001488282190264,7.649827974430178,1.3622458364720198,9.012073810902196
LD,2025-01-09,2025,9,FALSE,0.9305784856918868,-0.06571018155305439,0.8648683041388324,8.580406460122065,1.2965356549189655,9.876942115041029
LD,2025-01-10,2025,10,FALSE,0.4404176593000119,0.5519236493791668,0.9923413086791787,9.020824119422077,1.8484593042981323,10.869283423720207
LD,2025-01-11,2025,11,FALSE,1.396443097219428,-0.31250683480580527,1.0839362624136222,10.417267216641505,1.535952469492327,11.95321968613383
LD,2025-01-12,2025,12,FALSE,1.5283395553756882,-0.3120125113190136,1.2163270440566756,11.945606772017193,1.2239399581733135,13.169546730190506
LD,2025-01-13,2025,13,FALSE,0.9836507123712,0.1377126766812073,1.1213633890524075,12.929257484388392,1.3616526348545208,14.290910119242913
LD,2025-01-14,2025,14,FALSE,0.8126151915320493,0.05133453912865112,0.8639497306607006,13.741872675920442,1.4129871739831719,15.154859849903612
LD,2025-01-15,2025,15,FALSE,0.9542723377133575,0.13524676307075104,1.0895191007841085,14.6961450136338,1.5482339370539229,16.24437895068772
LD,2025-01-16,2025,16,FALSE,1.2168243435600001,0.11640785378038487,1.3332321973403847,15.9129693571938,1.6646417908343079,17.577611148028105
LD,2025-01-17,2025,17,FALSE,1.231245710940527,0.43404648748603136,1.6652921984265592,17.144215068134326,2.0986882783203393,19.242903346454664
LD,2025-01-18,2025,18,FALSE,1.1528382601522669,0.5235352752113787,1.6763735353636453,18.297053328286594,2.622223553531718,20.91927688181831
LD,2025-01-19,2025,19,FALSE,0.44485240106114204,0.548469515640474,0.993321916701616,18.741905729347735,3.1706930691721924,21.912598798519927
LD,2025-01-20,2025,20,FALSE,0.35130654908911724,0.19207344273198262,0.5433799918211001,19.09321227843685,3.362766511904175,22.455978790341028
LD,2025-01-21,2025,21,FALSE,-0.017532398821175015,0.5202348959223875,0.5027024971012126,19.075679879615677,3.883001407826563,22.95868128744224
LD,2025-01-22,2025,22,FALSE,0.1467632369207911,0.40576204384440556,0.5525252807651968,19.222443116536468,4.2887634516709685,23.511206568207434
LD,2025-01-23,2025,23,FALSE,0.8978433302149215,0.2933636084671677,1.191206938682089,20.12028644675139,4.582127060138136,24.702413506889524
LD,2025-01-24,2025,24,FALSE,0.982947324854791,0.12168384694408343,1.1046311717988742,21.10323377160618,4.70381090708222,25.8070446786884
LD,2025-01-25,2025,25,FALSE,0.9945157790879998,0.4846480220123864,1.4791638011003867,22.097749550694182,5.188458929094606,27.286208479788787
LD,2025-01-26,2025,26,FALSE,1.2940113450265716,0.34719304788012817,1.6412043929066995,23.391760895720754,5.5356519769747345,28.927412872695488
LD,2025-01-27,2025,27,FALSE,1.6563264654054,-0.0509792630735518,1.6053472023318487,25.048087361126154,5.484672713901182,30.532760075027337
LD,2025-01-28,2025,28,FALSE,1.9165990187888027,-0.15345464453874158,1.763144374250061,26.964686379914955,5.331218069362441,32.2959044492774
LD,2025-01-29,2025,29,FALSE,1.8353338423931336,0.05056067030465647,1.8858945126977904,28.80002022230809,5.381778739667097,34.18179896197519
LD,2025-01-30,2025,30,FALSE,1.3704590686561602,0.16184085487158567,1.5322999235277455,30.17047929096425,5.543619594538683,35.714098885502935
LD,2025-01-31,2025,31,FALSE,1.671021679830536,0.047851522277027506,1.7188732021075641,31.841500970794783,5.59147111681571,37.4329720876105
LD,2025-02-01,2025,32,FALSE,0.9608080967949997,0.22973381248573838,1.1905419092807377,32.80230906758978,5.821204929301449,38.62351399689124
LD,2025-02-02,2025,33,FALSE,0.4682903537081534,0.6355569235690733,1.103847277277227,33.27059942129794,6.456761852870522,39.727361274168466
LD,2025-02-03,2025,34,FALSE,1.4793420054064101,-6.814831069733226e-4,1.4786605222994362,34.749941426704346,6.456080369763549,41.2060217964679
LD,2025-02-04,2025,35,FALSE,1.1550023353010443,0.1745327279847519,1.329535063285797,35.90494376200539,6.6306130977483,42.5355568597537
LD,2025-02-05,2025,36,FALSE,0.9413842768281423,0.2009289986444791,1.142313275472621,36.84632803883353,6.83154209639278,43.67787013522632
LD,2025-02-06,2025,37,FALSE,1.0951030988519532,0.3176537065506213,1.4127568054025745,37.941431137685484,7.149195802943401,45.090626940628894
