site,DateTime,NEE_raw,Rg,Tair,Ustar,SeasonClass,DayNight,low_ustar_flag
LD,2025-11-20T21:00:00Z,76.8414,12.0288,5.944000000000017,0.266137,Winter window,Day,FALSE
LD,2025-10-24T10:00:00Z,75.8635,0,3.6830000000000496,0.101708,Growing season,Night,FALSE
LD,2025-07-19T20:00:00Z,75.52394,69.1706,24.605000000000018,0.364987,Growing season,Day,FALSE
LD,2025-07-17T09:00:00Z,74.25356000000001,0,17.19100000000003,0.837063,Growing season,Night,FALSE
LD,2025-03-30T15:30:00Z,73.7844,69.7347,7.6720000000000255,0.24795,Winter window,Day,FALSE
MD,2025-10-22T08:00:00Z,73.68204,NA,NA,0.432925,Growing season,NA,FALSE
MD,2025-08-26T09:30:00Z,73.4474,0,8.543000000000006,0.0566459,Growing season,Night,TRUE
LD,2025-08-12T19:30:00Z,73.43520000000001,51.2769,23.636000000000024,0.341209,Growing season,Day,FALSE
LD,2025-11-02T07:30:00Z,73.3053,1.24752e-4,-0.09099999999995134,0.0839501,Winter window,Night,TRUE
MD,2025-07-18T06:00:00Z,72.7127,0,12.123000000000047,0.0637274,Growing season,Night,TRUE
MD,2025-12-31T03:00:00Z,72.2514,0.00115605,-7.48599999999999,0.132828,Winter window,Night,FALSE
LD,2025-05-13T07:00:00Z,72.24804999999999,0,16.754999999999995,0.235673,Growing season,Night,FALSE
LD,2025-04-15T13:00:00Z,69.94688000000001,104.565,1.365000000000009,0.778781,Growing season,Day,FALSE
MD,2025-08-12T21:30:00Z,69.66669999999999,65.8124,20.986000000000047,0.161342,Growing season,Day,FALSE
MD,2025-10-24T10:30:00Z,69.5162,0,3.1860000000000355,0.0734465,Growing season,Night,TRUE
LD,2025-05-01T15:30:00Z,69.11992,67.6119,8.092000000000041,0.779759,Growing season,Day,FALSE
MD,2025-08-19T03:30:00Z,68.96978999999999,0,19.730000000000018,0.669689,Growing season,Night,FALSE
LD,2025-08-30T13:30:00Z,68.7617,338.877,12.498000000000047,0.161894,Growing season,Day,FALSE
MD,2025-10-15T14:30:00Z,68.76145,136.81,10.242000000000019,0.104325,Growing season,Day,FALSE
MD,2025-10-19T17:00:00Z,68.47246,69.2086,9.994000000000028,0.664611,Growing season,Day,FALSE
LD,2025-07-17T06:00:00Z,68.1790301,0,21.926000000000045,0.516565,Growing season,Night,FALSE
LD,2025-12-23T03:00:00Z,68.1624,0,2.1140000000000327,0.426272,Winter window,Night,FALSE
MD,2025-10-22T06:30:00Z,67.49259500000001,NA,NA,0.299293,Growing season,NA,FALSE
LD,2025-09-02T09:00:00Z,67.2824,0,10.895000000000039,0.0234478,Growing season,Night,TRUE
LD,2025-05-21T22:30:00Z,67.17060000000001,76.0865,8.617000000000019,0.275664,Growing season,Day,FALSE
MD,2025-08-19T12:00:00Z,66.59805,8.3388,18.345000000000027,0.250336,Growing season,Night,FALSE
LD,2025-08-21T07:30:00Z,65.7265,0,15.240000000000009,0.123579,Growing season,Night,FALSE
LD,2025-12-26T15:30:00Z,65.4112,28.5281,-0.17499999999995453,0.663709,Winter window,Day,FALSE
LD,2025-10-08T06:00:00Z,64.96282000000001,0.00221447,8.287000000000035,0.340447,Growing season,Night,FALSE
LD,2025-05-22T00:00:00Z,64.61665,19.4303,8.44500000000005,0.270934,Growing season,Day,FALSE
MD,2025-01-23T11:30:00Z,64.2093,2.96101e-4,-6.975999999999999,0.161199,Winter window,Night,FALSE
MD,2025-12-29T07:00:00Z,64.17557000000001,0,0.7010000000000218,0.813506,Winter window,Night,FALSE
LD,2025-06-04T16:30:00Z,63.521698,226.606,15.569000000000017,0.308973,Growing season,Day,FALSE
LD,2025-09-21T02:00:00Z,63.5122,0.00191221,16.251000000000033,0.333418,Growing season,Night,FALSE
MD,2025-06-19T06:30:00Z,63.032256000000004,0,19.180000000000007,0.328425,Growing season,Night,FALSE
MD,2025-10-15T11:00:00Z,62.6994,0,9.075000000000045,0.0751814,Growing season,Night,TRUE
LD,2025-07-17T08:30:00Z,61.408719999999995,0,18.230000000000018,0.839582,Growing season,Night,FALSE
LD,2025-07-17T06:30:00Z,61.159690000000005,0,20.789000000000044,0.442392,Growing season,Night,FALSE
LD,2025-09-08T13:00:00Z,61.104,217.925,7.994000000000028,0.357203,Growing season,Day,FALSE
LD,2025-07-08T08:30:00Z,61.0394,0,14.078000000000031,0.136433,Growing season,Night,FALSE
LD,2025-06-18T10:30:00Z,61.03483,2.10753,20.073000000000036,0.41783,Growing season,Night,FALSE
MD,2025-08-26T13:00:00Z,59.9653,261.212,12.645000000000039,0.153758,Growing season,Day,FALSE
