site,Date,n_obs_NEE,n_obs_GPP,n_obs_Reco,NEE_gC_day,GPP_gC_day,Reco_gC_day,cov_NEE,cov_GPP,cov_Reco
LD,2025-01-01,37,37,37,0.7434393397948801,0.31604533247217836,1.0594846722670586,0.7708333333333334,0.7708333333333334,0.7708333333333334
LD,2025-01-02,48,48,48,1.0051156529612788,0.3717972353558489,1.3769128883171278,1,1,1
LD,2025-01-03,48,48,48,0.7811337405442897,0.5229850568669424,1.3041187974112325,1,1,1
LD,2025-01-04,48,48,48,0.9589455765503996,0.11891892110407391,1.0778644976544738,1,1,1
LD,2025-01-05,48,48,48,1.3847783024773626,-0.3852931263643685,0.9994851761129945,1,1,1
LD,2025-01-06,48,48,48,1.2624032837123624,-0.19722760895267932,1.0651756747596828,1,1,1
LD,2025-01-07,48,48,48,0.9463134256118609,0.18123039657750148,1.1275438221893619,1,1,1
LD,2025-01-08,48,48,48,0.5676986527777418,0.4337896294125224,1.001488282190264,1,1,1
LD,2025-01-09,48,48,48,0.9305784856918868,-0.06571018155305439,0.8648683041388324,1,1,1
LD,2025-01-10,48,48,48,0.4404176593000119,0.5519236493791668,0.9923413086791787,1,1,1
LD,2025-01-11,48,48,48,1.396443097219428,-0.31250683480580527,1.0839362624136222,1,1,1
LD,2025-01-12,48,48,48,1.5283395553756882,-0.3120125113190136,1.2163270440566756,1,1,1
LD,2025-01-13,48,48,48,0.9836507123712,0.1377126766812073,1.1213633890524075,1,1,1
LD,2025-01-14,48,48,48,0.8126151915320493,0.05133453912865112,0.8639497306607006,1,1,1
LD,2025-01-15,48,48,48,0.9542723377133575,0.13524676307075104,1.0895191007841085,1,1,1
LD,2025-01-16,48,48,48,1.2168243435600001,0.11640785378038487,1.3332321973403847,1,1,1
LD,2025-01-17,48,48,48,1.231245710940527,0.43404648748603136,1.6652921984265592,1,1,1
LD,2025-01-18,48,48,48,1.1528382601522669,0.5235352752113787,1.6763735353636453,1,1,1
LD,2025-01-19,48,48,48,0.44485240106114204,0.548469515640474,0.993321916701616,1,1,1
LD,2025-01-20,48,48,48,0.35130654908911724,0.19207344273198262,0.5433799918211001,1,1,1
LD,2025-01-21,48,48,48,-0.017532398821175015,0.5202348959223875,0.5027024971012126,1,1,1
