Date,Year,DaysSinceGSStart,LD_cum_NEE_gC,MD_cum_NEE_gC,LD_cum_GPP_gC,MD_cum_GPP_gC,LD_cum_Reco_gC,MD_cum_Reco_gC,MD_minus_LD_cum_NEE_gC,MD_minus_LD_cum_GPP_gC,MD_minus_LD_cum_Reco_gC
2025-04-15,2025,0,-0.038099497551428,1.2639801982319996,1.549928649032694,-0.3796170096389741,1.5118291514812652,0.8843631885930261,1.3020796957834275,-1.9295456586716682,-0.6274659628882391
2025-04-16,2025,1,-1.3036991097385586,-0.08004910605120052,4.7104687441089235,2.3447070495529982,3.406769634370364,2.2646579435017977,1.223650003687358,-2.365761694555925,-1.1421116908685662
2025-04-17,2025,2,-2.1612416371547525,-0.8850265021305289,7.739092525362665,5.339162915672937,5.577850888207912,4.454136413542409,1.2762151350242235,-2.3999296096897274,-1.123714474665503
2025-04-18,2025,3,-1.6752258517628733,0.8737643897807442,10.057861646262353,6.993727492292451,8.382635794499478,7.867491882073196,2.5489902415436174,-3.064134153969902,-0.5151439124262822
2025-04-19,2025,4,-2.940118797506757,0.6894932044887108,13.866860719735266,10.470511742371981,10.926741922228507,11.160004946860692,3.6296120019954676,-3.396348977363285,0.23326302463218518
2025-04-20,2025,5,-5.375823378762617,-0.2663513654632349,18.64699173191879,14.430134007408203,13.271168353156169,14.16378264194497,5.109472013299382,-4.216857724510586,0.8926142887888009
2025-04-21,2025,6,-5.397893076775479,-0.7603822899376347,21.426647786181462,18.150278328128177,16.02875470940598,17.389896038190543,4.6375107868378445,-3.276369458053285,1.3611413287845622
2025-04-22,2025,7,-6.730429809032196,-1.8012784305772855,25.68640418942317,22.884136504882214,18.95597438039097,21.082858074304927,4.92915137845491,-2.802267684540954,2.126883693913957
2025-04-23,2025,8,-8.675863094723239,-3.449634417305287,31.251657577719868,29.102425833447302,22.575794482996628,25.652791416142012,5.226228677417952,-2.1492317442725657,3.0769969331453844
2025-04-24,2025,9,-10.474371976845367,-4.995085710329287,37.58032113459979,35.40788516066265,27.10594915775442,30.412799450333363,5.4792862665160795,-2.172435973937141,3.306850292578943
