site,n_total,n_flag_impossible,n_flag_remove_winter_neg_night,n_flag_review_winter_pos_night,n_flag_review_winter_transition,n_flag_bad_qc,n_flag_fetch_excluded
LD,15430,22,13,12,16,0,4228
MD,15438,3,12,14,16,0,0
