site,Year,n_hh_total,n_hh_NEE_nonmissing,n_hh_GPP_nonmissing,n_hh_Reco_nonmissing,NEE_gC_total,GPP_gC_total,Reco_gC_total,NEE_gC_GS,GPP_gC_GS,Reco_gC_GS
LD,2025,17519,17519,17519,17519,-311.98651027016786,1847.4596877761223,1535.4731775059588,-505.0250169900664,1727.2809800506302,1222.2559630605615
MD,2025,17519,17519,17519,17519,-485.103483481404,2129.730007982239,1644.6265245008415,-589.6702944076347,1975.772928098935,1386.1026336912928
