aggregationMode,seasonYear,season,uStar,5%,50%,95%
single,NA,NA,0.194085125,0.176241645487013,0.2159626710789211,0.33572853809523806
year,2025,NA,0.194085125,0.176241645487013,0.2159626710789211,0.33572853809523806
season,2025,2025001,0.19327645,0.1109536145,0.1802994,0.24856468113636362
season,2025,2025003,0.194085125,0.13326775937500002,0.17221025297619047,0.2644356361111111
season,2025,2025006,0.12745127272727272,0.07857992371212122,0.14681625407925408,0.19234099577922079
season,2025,2025009,0.1543183125,0.05626784097426471,0.09117673125,0.18198560533088232
season,2025,2025012,0.15641733333333332,0.13808605654761905,0.17460291666666666,0.33572853809523806
