plot_page,event_id,site,DateTime,NEE_raw,NEE_lag,NEE_lead,Rg,Tair,Ustar,qc_co2_flux,signal_strength,wind_dir
59,LD_Winter_positive_nighttime_NEE_20241227_1800,LD,2024-12-27T23:00:00Z,49.5972,-11.48951,-8.86111,0.0320776,6.162000000000035,0.393256,1,35,108.162
60,LD_Winter_positive_nighttime_NEE_20241228_0000,LD,2024-12-28T05:00:00Z,24.693694999999998,-45.834219999999995,63.524770000000004,0,7.290999999999997,0.435857,1,38,120.569
61,LD_Winter_positive_nighttime_NEE_20241228_0030,LD,2024-12-28T05:30:00Z,63.524770000000004,24.693694999999998,69.30201,0,7.741000000000042,0.442575,1,35,132.377
62,LD_Winter_positive_nighttime_NEE_20241228_0100,LD,2024-12-28T06:00:00Z,69.30201,63.524770000000004,14.502800000000004,0,8.116000000000042,0.470197,2,29,136.726
63,LD_Winter_positive_nighttime_NEE_20241228_0130,LD,2024-12-28T06:30:00Z,14.502800000000004,69.30201,42.000299999999996,0,8.469000000000051,0.577747,1,20,146.867
64,LD_Winter_positive_nighttime_NEE_20241228_0200,LD,2024-12-28T07:00:00Z,42.000299999999996,14.502800000000004,25.54224,0,8.910000000000025,0.560366,1,29,145.753
65,LD_Winter_positive_nighttime_NEE_20241228_0230,LD,2024-12-28T07:30:00Z,25.54224,42.000299999999996,39.2051,0,9.305000000000007,0.544906,0,29,152.343
66,LD_Winter_positive_nighttime_NEE_20241228_0300,LD,2024-12-28T08:00:00Z,39.2051,25.54224,-113.250908,0,9.865000000000009,0.547896,0,15,178.56
67,LD_Winter_positive_nighttime_NEE_20241230_0000,LD,2024-12-30T05:00:00Z,44.348102,5.985049999999999,-24.774789700000003,0,2.7250000000000227,0.728625,1,33,305.24
68,LD_Winter_positive_nighttime_NEE_20241230_0330,LD,2024-12-30T08:30:00Z,12.042919999999999,1.2680900000000002,7.566974,0,2.55600000000004,0.579116,1,17,285.809
69,LD_Winter_positive_nighttime_NEE_20241230_2200,LD,2024-12-31T03:00:00Z,16.0857,-4.811299999999999,5.014377,0,1.3420000000000414,0.187148,1,13,194.173
